Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5
2,23.24,19.82,19.82,19.82,19.82
4,23.73,19.82,19.82,19.34,19.82
38,23.73,19.82,19.82,19.82,19.82
75,23.24,19.82,19.82,19.82,20.31
111,23.24,19.82,19.34,19.34,20.31
149,23.73,19.82,19.82,19.82,20.31
186,23.24,19.82,19.82,19.34,19.82
224,23.24,19.82,19.34,19.34,19.34
261,23.24,19.82,19.82,19.82,19.82
299,23.24,19.82,19.34,19.34,19.82
335,23.73,19.82,19.82,19.34,19.82
373,23.24,19.82,19.34,19.82,19.82
411,23.24,19.82,19.82,19.34,20.31
448,23.73,19.82,19.34,19.34,19.34
486,23.24,19.82,19.34,19.34,19.82
523,23.24,19.82,19.34,19.34,19.82
561,23.24,19.82,19.82,19.34,19.82
598,23.24,19.82,19.82,19.34,19.82
635,23.73,19.82,19.82,19.82,19.82
673,23.24,19.82,19.34,19.34,19.34
710,23.73,19.82,19.82,19.34,19.34
748,23.24,19.82,19.82,19.34,19.82
785,23.24,19.82,19.82,19.34,19.82
823,23.24,19.82,19.82,19.34,19.82
860,23.73,19.82,19.82,19.82,20.31
898,23.24,19.82,19.82,19.82,19.82
934,23.24,19.82,19.82,19.82,19.34
972,23.73,19.82,19.82,19.34,19.34
1010,23.24,19.82,19.34,19.34,19.82
1048,23.73,19.82,19.82,19.82,19.82
1087,23.24,19.82,19.82,19.34,19.82
1125,23.73,19.82,19.82,19.34,20.31
1164,23.73,19.82,19.82,19.82,19.82
1202,23.73,19.82,19.34,19.34,19.34
1241,23.73,19.82,19.82,19.82,19.82
1280,23.24,19.82,19.34,19.34,19.82
1317,23.73,19.82,19.82,19.82,19.82
1356,23.73,19.82,19.82,19.34,19.82
1394,23.73,19.82,19.82,19.82,19.82
1433,23.73,19.82,19.34,19.34,19.82
1472,23.73,19.82,19.82,19.34,19.82
1510,23.24,19.82,19.82,19.34,20.31
1549,23.73,19.82,19.82,19.34,19.82
1587,23.24,19.82,19.34,19.82,19.82
1626,23.24,19.82,19.34,19.82,19.82
1664,23.24,19.82,19.82,19.34,19.82
1702,23.73,19.82,19.82,19.82,20.31
1741,23.73,19.82,19.34,19.82,20.31
1779,23.24,19.82,19.82,19.34,19.82
1818,23.24,19.82,19.82,19.82,19.82
1856,23.73,19.82,19.34,19.34,19.82
1895,23.24,19.82,19.82,19.82,19.82
1933,23.24,19.82,19.34,19.34,19.82
1972,23.24,19.82,19.34,19.34,19.82
2011,23.73,19.82,19.34,19.34,19.82
2049,23.73,19.82,19.34,19.34,19.82
2087,23.73,19.82,19.34,19.34,19.82
2125,23.73,19.82,19.34,19.82,19.82
2164,23.73,19.82,19.82,19.34,19.82
2203,23.73,19.82,19.82,19.82,19.82
2241,23.73,19.82,19.82,19.82,19.82
2280,23.73,19.82,19.34,19.82,19.82
2318,23.73,19.82,19.82,19.82,19.82
2357,23.73,19.82,19.82,19.82,19.82
2395,23.73,19.82,19.34,19.82,20.31
2434,23.73,20.31,19.82,19.34,19.34
2472,23.73,19.82,19.34,19.82,19.34
2510,23.73,19.82,19.34,19.34,19.82
2549,23.73,19.82,19.82,19.82,19.82
2587,23.24,19.82,19.34,19.34,19.82
2626,23.24,19.82,19.34,19.34,19.82
2664,23.24,19.82,19.82,19.34,19.82
2703,23.73,19.82,19.82,19.34,19.82
2742,23.73,19.82,19.82,19.34,19.82
2780,23.73,19.82,19.82,19.34,19.82
2819,23.73,19.82,19.82,19.34,19.82
2856,24.22,20.31,19.82,19.82,20.31
2895,23.73,20.31,19.82,19.82,20.31
2933,23.73,20.31,19.82,19.82,19.82
2972,23.24,20.31,19.82,19.82,19.82
3011,24.22,20.31,19.82,19.82,20.31
3049,24.22,20.31,19.34,20.31,19.82
3088,24.22,20.31,20.31,19.82,19.82
3126,23.73,19.82,19.82,19.34,19.34
3165,23.73,19.82,19.82,19.34,19.82
3204,23.73,19.82,19.34,19.82,19.82
3241,23.73,19.82,19.82,19.82,19.82
3280,23.73,19.82,19.34,19.82,19.82
3318,23.73,19.82,19.82,19.34,19.82
3357,23.73,19.82,19.82,19.34,19.82
3395,23.73,19.82,19.82,19.82,19.82
3434,23.73,19.82,19.82,19.82,19.82
3473,23.73,19.82,19.82,19.34,19.82
3511,23.73,19.82,19.34,19.34,19.34
3550,23.73,19.82,19.82,19.34,19.82
3588,23.73,19.82,19.82,19.34,19.82
3627,23.73,19.82,19.82,19.82,19.82
3664,23.73,19.82,19.82,19.34,19.82
3703,23.73,19.82,19.82,19.34,19.82
3742,23.73,19.82,19.34,19.34,19.82
3780,23.73,19.82,19.82,19.82,19.34
3819,23.73,19.82,19.82,19.34,19.82
3857,23.73,19.82,19.82,19.34,19.82
3896,23.73,19.82,19.82,19.34,19.82
3935,23.73,19.82,19.82,19.34,19.82
3973,23.73,19.82,19.82,19.34,19.82
4012,23.73,19.82,19.82,19.82,19.82
4049,23.73,20.31,19.82,20.31,20.31
4088,24.22,20.80,19.82,19.82,19.82
4126,23.73,19.82,19.34,19.34,19.34
4165,23.73,19.82,19.82,19.82,19.82
4204,23.73,20.31,19.34,19.34,19.82
4242,23.73,19.82,19.82,19.82,19.82
4281,23.73,19.82,19.34,19.34,19.82
4319,23.73,19.82,19.82,19.82,19.82
4358,23.73,20.31,19.82,19.82,19.82
4396,23.73,19.82,19.82,19.34,19.82
4434,23.73,19.82,19.82,19.82,19.82
4473,23.73,19.82,19.82,19.34,19.82
4511,23.73,19.82,19.82,19.34,19.82
4550,23.73,20.31,19.82,19.34,19.82
4588,23.73,20.31,19.82,19.34,19.82
4627,24.22,20.31,19.82,19.34,19.82
4666,23.73,19.82,19.82,19.34,19.82
4704,23.73,19.82,19.82,19.34,19.82
4743,23.73,19.82,19.82,19.34,19.82
4781,23.73,19.82,19.82,19.34,19.82
4819,24.22,19.82,19.34,19.34,19.34
4857,23.73,19.82,19.82,19.34,19.82
4896,23.73,19.82,19.82,19.82,20.31
4935,23.73,19.82,19.82,19.34,19.82
4973,23.73,20.31,19.82,19.82,19.82
5012,24.22,20.31,19.82,19.82,19.82
5050,23.73,20.31,19.82,19.82,19.82
5089,23.73,20.31,19.82,19.34,19.82
5127,23.73,19.82,19.82,19.82,19.34
5166,23.73,19.82,19.34,19.34,19.82
5204,23.73,19.82,19.82,19.34,19.82
5242,23.73,19.82,19.82,19.82,20.31
5281,24.22,20.31,19.82,19.34,19.82
5319,23.73,19.82,19.82,19.82,19.82
5358,23.73,19.82,19.82,19.82,19.82
5396,23.73,19.82,19.82,19.34,19.34
5435,23.73,19.82,19.34,19.34,19.82
5474,23.73,20.31,19.82,19.82,19.34
5512,23.73,19.82,19.34,19.34,19.34
5551,23.73,20.31,19.82,19.34,20.31
5588,23.73,19.82,19.82,19.34,19.82
5627,23.73,19.82,19.82,19.34,19.82
5666,23.73,19.82,19.82,19.34,19.82
5704,24.22,19.82,19.82,19.34,19.82
5743,23.73,19.82,19.82,19.82,20.31
5781,23.73,19.82,19.34,19.34,19.34
5820,23.73,20.31,19.82,19.82,19.34
5858,23.73,19.82,19.82,19.34,19.82
5897,23.73,19.82,19.82,19.34,19.82
5936,23.73,20.31,19.82,19.82,19.82
5974,23.73,19.82,19.82,19.34,19.82
6012,23.73,20.31,19.82,19.82,19.82
6050,23.73,19.82,19.82,19.82,19.82
6089,23.73,19.82,19.82,19.34,19.82
6127,24.22,20.31,19.82,19.82,19.82
6166,23.73,19.82,19.34,19.34,19.82
6205,24.22,19.82,19.34,19.34,19.82
6243,23.73,19.82,19.82,19.34,20.31
6282,23.73,19.82,19.34,19.34,19.34
6320,23.73,20.31,19.82,19.82,19.82
6359,23.73,19.82,19.82,19.82,19.82
6397,23.73,19.82,19.34,19.82,20.31
6435,23.73,19.82,19.34,19.34,19.82
6474,23.73,19.82,19.82,19.34,19.34
6512,24.22,20.31,19.82,19.34,19.82
6551,23.73,20.31,19.82,19.34,19.82
6589,23.73,19.82,19.82,19.82,20.31
6628,23.73,19.82,19.34,19.34,19.34
6667,23.73,19.82,19.82,19.82,19.82
6705,24.22,20.31,19.82,19.34,20.31
6744,23.73,19.82,19.82,19.82,20.31
6781,24.22,19.82,19.82,19.82,19.82
6820,24.22,20.31,19.82,19.82,19.82
6858,23.73,19.82,19.82,19.82,19.82
6897,23.73,19.82,19.82,19.82,19.82
6936,23.73,19.82,19.34,19.34,19.82
6974,23.73,19.82,19.34,19.34,19.34
7013,23.73,20.31,19.82,19.34,19.82
7051,23.73,20.31,19.82,19.34,19.82
7090,23.73,19.82,19.34,19.34,19.34
7129,24.22,19.82,19.82,19.34,19.82
7166,24.22,20.31,19.34,19.34,19.82
7205,23.73,19.82,19.82,19.34,19.82
7243,23.73,19.82,19.34,19.34,19.82
7282,23.73,20.31,19.34,19.34,19.82
7320,23.73,19.82,19.82,19.82,19.82
7359,23.73,19.82,19.34,19.34,19.82
7398,23.73,19.82,19.34,19.34,19.82
7436,24.22,19.82,19.82,19.82,20.31
7475,23.73,20.31,19.82,19.34,19.82
7513,24.22,19.82,19.82,19.34,19.82
7552,24.22,19.82,19.82,19.82,19.82
7589,23.73,19.82,19.34,19.34,19.82
7628,23.73,20.31,19.82,19.82,19.34
7667,24.22,20.31,19.82,19.34,19.82
7705,24.22,20.31,19.82,19.34,19.82
7744,24.22,19.82,19.82,19.82,19.82
7782,23.73,19.82,19.82,19.34,19.34
7821,24.22,20.31,19.82,19.82,19.82
7859,23.73,20.31,19.34,19.82,19.82
7898,23.73,19.82,19.34,19.82,19.34
7937,24.22,19.82,19.82,19.82,19.82
7974,23.73,19.82,19.34,19.34,19.34
8013,24.22,20.31,19.34,19.82,19.82
8051,24.22,20.31,19.82,19.82,19.82
8090,24.22,20.31,19.34,18.85,20.31
8129,24.22,19.82,19.82,19.82,19.82
8167,24.22,20.31,19.82,19.82,19.82
8206,23.73,20.31,19.82,19.34,19.82
8244,23.73,19.82,19.82,19.34,19.82
8283,24.22,20.31,19.82,19.82,19.82
8321,23.73,20.31,19.34,19.82,19.82
8359,23.73,19.82,19.34,19.34,19.82
8398,24.22,19.82,19.82,19.34,19.82
8436,23.73,19.82,19.34,19.34,19.34
8475,24.22,20.31,19.82,19.34,19.82
8513,23.73,20.31,19.82,19.34,19.34
8552,23.73,20.31,19.82,19.34,19.82
