Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
0,73.05,49.61,38.87,30.57,28.61,19.82
1002,73.05,49.61,39.36,30.57,28.61,19.82
2004,73.05,50.10,38.87,31.05,28.61,19.82
3008,72.56,50.10,38.87,30.57,28.61,19.82
4011,72.07,50.10,39.36,31.05,28.61,19.82
5014,71.58,50.10,39.36,31.05,28.61,19.82
6017,71.58,50.59,39.36,31.05,28.61,19.82
7020,71.09,50.10,39.36,31.05,29.10,19.82
8023,71.09,50.59,39.84,31.05,28.61,19.82
9026,70.61,50.59,39.84,31.05,29.10,19.82
10029,70.61,50.59,39.84,31.05,28.61,19.82
11031,70.12,51.07,39.84,31.05,29.10,19.82
12035,70.12,51.07,40.33,31.54,29.10,19.82
13037,69.63,51.07,40.33,31.54,29.10,20.31
14041,69.63,51.07,40.33,31.54,29.10,19.82
15043,69.14,51.07,40.33,31.54,29.59,19.82
16047,69.14,51.07,40.33,32.03,29.10,19.82
17049,68.65,51.07,40.33,32.03,29.59,19.82
18053,68.65,51.07,40.82,32.03,29.59,19.82
19055,68.16,51.07,40.82,31.54,29.10,19.82
20059,68.16,51.07,40.82,32.03,29.59,19.82
21061,67.68,51.56,40.82,32.03,29.59,19.82
22065,67.68,51.07,40.82,32.03,29.59,19.82
23067,67.19,51.07,41.31,32.52,30.08,20.31
24071,66.70,51.07,41.31,32.52,29.59,19.82
25073,66.21,51.07,41.31,32.03,30.08,19.82
26077,66.21,51.07,41.31,32.52,29.59,19.82
27079,66.21,51.07,41.31,32.52,29.59,19.82
28083,66.21,51.07,41.31,32.52,29.59,19.82
29085,65.72,51.07,41.31,32.03,29.59,19.82
30089,65.23,50.59,41.31,32.03,30.08,19.82
31091,65.23,51.07,41.31,32.03,29.59,19.82
32095,64.75,51.07,41.80,32.52,30.57,19.82
33097,64.26,50.59,41.80,32.52,30.08,19.82
34101,64.26,51.07,41.31,33.01,30.08,19.82
35103,64.26,51.07,41.80,32.52,30.57,19.82
36107,63.77,50.59,41.80,33.01,30.08,19.82
37109,63.28,50.59,41.80,33.01,30.57,19.82
38113,63.28,50.59,41.80,32.52,30.08,19.82
39115,63.28,50.59,41.80,33.01,30.08,19.82
40119,63.28,50.59,41.80,33.01,30.57,19.82
41121,63.77,50.59,41.80,33.01,30.57,19.82
42125,63.77,50.59,41.80,33.01,30.57,19.82
43127,63.77,50.59,41.80,33.50,30.57,20.31
44131,64.26,50.10,41.80,33.01,30.57,19.82
45133,64.26,50.59,42.29,33.50,31.05,19.82
46137,64.26,50.10,42.29,33.50,30.57,19.82
47139,64.75,50.10,42.29,33.50,30.57,19.82
48143,64.75,50.10,42.29,33.01,30.57,19.82
49145,65.23,50.59,42.29,33.50,31.05,19.82
50149,65.23,50.59,42.29,33.50,31.05,19.82
51151,65.23,50.10,42.29,33.50,31.05,19.82
52155,65.72,50.10,42.29,33.50,31.05,19.82
53157,65.72,50.10,42.77,33.50,31.05,19.82
54161,65.72,50.10,42.29,33.98,31.05,19.82
55163,66.21,50.10,42.29,33.98,31.05,19.82
56167,66.21,50.10,42.29,33.98,31.05,20.31
57169,66.21,50.10,42.29,33.98,31.05,19.82
58173,66.21,50.10,42.29,33.98,31.54,19.82
59175,66.70,50.10,42.77,34.47,31.54,19.82
60179,66.70,50.10,42.29,33.98,31.54,19.82
61181,67.19,50.10,42.29,33.98,31.54,19.82
62185,67.19,50.10,42.29,33.98,31.54,19.82
63187,67.19,50.10,42.29,34.47,31.54,19.82
64191,67.19,50.10,42.77,34.47,31.54,19.82
65193,67.68,50.10,42.77,34.47,32.03,19.82
66197,67.68,50.59,42.77,33.98,31.05,19.82
67200,68.16,50.10,42.77,34.47,31.54,19.82
68203,68.16,50.10,42.77,34.47,31.54,19.82
69206,68.16,50.59,42.29,34.47,32.03,19.82
70209,68.16,50.59,42.77,34.47,32.03,19.82
71212,67.68,50.59,42.77,34.47,32.03,19.82
72215,67.68,50.59,42.77,34.47,32.03,19.82
73218,67.68,51.07,43.26,34.96,32.03,19.82
74221,67.19,51.07,43.26,34.47,32.03,19.82
75224,66.70,50.59,43.26,34.96,32.03,19.82
76227,66.70,51.07,43.26,34.96,32.52,19.82
77230,66.70,50.59,43.26,34.96,32.03,19.82
78233,66.21,50.59,43.26,34.96,32.52,19.82
79236,65.72,51.07,43.26,34.96,32.03,19.82
80239,65.72,50.59,42.77,34.96,32.52,19.82
81242,65.23,50.59,43.26,34.96,32.52,19.82
82245,65.23,50.59,42.77,34.96,32.52,19.82
83248,64.75,50.59,43.26,34.96,32.52,19.82
84251,64.75,51.07,43.26,34.96,33.01,20.31
85254,64.26,50.59,43.26,35.45,33.01,19.82
86257,64.26,50.59,43.26,34.96,33.01,19.82
87260,63.77,50.59,43.26,35.45,33.01,19.82
88263,63.77,50.59,43.26,35.45,32.52,19.82
89266,63.28,50.59,43.26,35.45,33.01,19.82
90269,63.28,50.59,43.26,34.96,33.01,19.82
91272,63.28,50.59,43.26,35.45,33.01,19.82
92275,62.79,50.59,43.26,35.45,33.01,19.82
93278,62.79,50.59,43.75,35.45,33.50,19.82
94281,62.30,50.59,43.26,35.45,33.01,19.82
95284,62.30,50.59,43.26,35.45,33.50,20.31
96287,62.30,50.59,43.26,35.45,33.01,19.82
97290,61.82,50.59,43.26,35.45,33.50,19.82
98293,61.82,50.59,43.26,35.45,33.50,19.82
99296,62.30,50.59,43.75,35.94,33.50,19.82
100299,62.30,50.59,43.75,35.94,33.50,19.82
101302,62.30,50.59,43.75,35.45,33.98,19.82
102305,62.79,50.59,43.75,35.94,33.50,19.82
103308,62.79,50.59,43.75,35.94,33.50,19.82
