Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
6484,19.34,19.82,18.85,18.85,18.85,19.82
6592,19.34,19.82,18.85,18.85,19.34,19.82
6699,19.34,19.82,18.85,18.85,18.85,19.82
6805,19.34,19.82,18.85,18.85,19.34,19.82
6913,19.34,19.82,18.85,18.85,18.85,19.82
7019,19.34,19.82,18.85,18.85,19.34,19.82
7126,19.34,19.82,18.85,18.85,18.85,19.82
7233,19.34,19.82,18.85,18.85,18.85,19.82
7340,19.34,19.82,18.85,18.85,18.85,19.82
7446,19.34,19.82,18.85,18.85,18.85,19.82
7554,19.34,19.82,18.85,18.85,18.85,19.82
7660,19.34,19.82,18.85,18.85,19.34,19.82
7817,19.34,19.82,18.85,18.85,19.34,19.82
7923,19.34,19.82,18.85,18.85,18.85,19.82
8031,19.34,19.34,18.85,18.85,18.85,19.82
8137,19.34,19.82,18.85,18.85,19.34,19.82
8244,19.34,19.82,18.36,18.85,18.36,19.82
8351,19.34,19.82,18.85,18.85,19.34,19.82
8458,19.34,19.82,19.34,18.85,19.34,19.82
8564,19.34,19.82,18.85,18.85,19.34,19.82
8672,19.34,19.82,18.85,18.85,18.85,19.82
8778,19.34,19.82,18.85,18.85,18.85,19.82
8885,19.34,19.82,18.85,18.85,18.85,19.82
8991,19.34,19.82,18.85,18.85,18.85,19.82
9103,19.34,19.82,18.85,18.85,18.85,19.82
9209,19.34,19.82,18.85,18.85,19.34,19.82
9316,19.34,19.82,18.85,18.85,18.85,19.82
9423,19.34,19.82,18.85,18.85,18.85,19.82
9530,19.34,19.82,18.85,18.85,18.85,19.82
9636,19.34,19.82,18.85,18.85,18.85,19.82
9744,19.34,19.82,18.85,18.85,18.85,19.82
9850,19.34,19.82,18.85,18.85,19.34,19.82
9957,19.34,19.82,18.85,18.85,19.34,19.82
10064,19.34,19.82,18.85,18.85,18.85,19.82
10171,19.34,19.82,18.85,18.85,18.36,19.82
10277,19.34,19.82,18.85,18.85,18.85,19.82
10389,19.34,19.82,18.85,18.85,18.85,19.82
10496,19.34,19.82,18.85,18.85,18.36,19.82
10603,19.34,19.82,18.85,18.85,19.34,19.82
10710,19.34,19.82,19.34,18.85,19.34,19.82
10816,19.34,19.82,18.85,18.85,18.85,19.82
10924,19.34,19.82,18.85,18.85,18.85,19.82
11030,19.34,19.82,18.85,18.85,18.85,19.82
11138,19.34,19.82,18.85,18.85,18.85,19.82
11244,19.34,19.82,18.85,18.85,18.85,19.82
11351,19.34,19.82,18.85,18.85,18.85,19.82
11458,19.34,19.82,18.85,18.85,19.34,19.82
11565,19.34,19.82,18.85,18.85,18.36,19.82
11675,19.34,19.82,18.85,18.85,18.85,19.82
11783,19.34,19.82,18.85,18.85,19.34,19.82
11889,19.34,19.82,18.85,18.85,18.85,19.82
11997,19.34,19.82,18.85,18.85,19.34,19.82
12103,19.34,19.82,18.85,18.85,18.85,19.82
12210,19.34,19.82,18.85,18.85,18.85,19.82
12317,19.34,19.82,18.85,18.85,19.34,19.82
12424,19.34,19.82,18.85,18.85,19.34,19.82
12531,19.34,19.82,18.36,18.85,18.85,19.82
12638,19.34,19.82,18.85,18.85,18.85,19.82
12745,19.34,19.82,18.85,18.85,18.85,19.82
12852,19.34,19.82,18.85,18.85,19.34,19.82
12962,19.34,19.82,18.85,18.85,18.85,19.82
13070,19.34,19.82,18.85,18.85,19.34,19.82
13176,19.34,19.82,18.85,18.85,18.85,19.82
13283,19.34,19.82,18.85,18.85,19.34,19.82
13390,19.34,19.82,18.85,18.85,18.85,19.82
13497,19.34,19.82,18.85,18.85,18.85,19.82
13604,19.34,19.82,18.85,18.85,19.34,19.82
13711,19.34,19.82,18.85,18.85,18.85,19.82
13817,19.34,19.82,18.85,18.85,18.85,19.82
13925,19.34,19.82,18.85,18.85,18.85,19.82
14031,19.34,19.82,18.85,18.85,18.85,19.82
14139,19.34,19.82,18.85,18.85,18.36,19.82
14249,19.34,19.82,18.85,18.85,18.85,19.82
14356,19.34,19.82,18.85,18.85,18.85,19.82
14464,19.34,19.82,18.85,18.85,19.34,19.82
14570,19.34,19.82,18.36,18.85,18.85,19.82
14678,19.82,19.82,18.85,18.85,18.85,19.82
14784,19.82,19.82,19.34,18.85,19.34,19.82
14891,19.82,19.82,18.85,18.85,18.85,19.82
14998,19.34,19.82,18.85,18.85,18.85,19.82
15105,19.82,19.82,18.85,18.85,19.34,19.82
15212,19.82,19.82,18.85,18.85,19.34,19.82
15319,19.82,19.82,18.85,18.85,19.34,19.82
15425,19.82,19.82,18.85,18.85,19.34,19.82
15537,19.34,19.82,18.85,18.85,19.34,19.82
15643,19.82,19.82,18.85,18.85,19.34,19.82
15751,19.34,19.82,18.85,18.85,19.34,19.82
15857,19.82,19.82,18.85,18.85,19.34,19.82
15964,19.82,19.82,18.85,18.85,18.85,19.82
16071,19.82,19.82,18.85,18.85,18.85,19.82
16178,19.82,19.82,18.85,18.85,18.85,19.82
16285,19.82,19.82,18.85,18.85,19.34,19.82
16392,19.82,19.82,18.85,18.85,18.85,19.82
16498,19.82,19.82,18.85,18.85,19.34,19.82
16606,19.82,19.82,18.85,18.85,18.85,19.82
16716,19.82,19.82,18.85,18.85,18.85,19.82
16823,19.82,19.82,18.85,18.85,18.85,19.82
16930,19.82,19.82,18.85,18.85,18.85,19.82
17037,19.82,19.82,19.34,18.85,18.85,19.82
17144,19.82,19.82,19.34,18.85,19.34,19.82
17251,19.82,19.82,18.85,18.85,18.85,19.82
17357,19.82,19.82,18.85,18.85,18.85,19.82
17465,19.82,19.82,18.85,18.85,19.34,19.82
17571,19.82,19.82,18.85,18.85,18.36,19.82
17679,19.82,19.82,18.85,18.85,18.85,19.82
17785,19.82,19.82,18.85,18.85,19.34,19.82
17892,19.82,19.82,18.85,18.85,18.85,19.82
18003,19.82,19.82,18.85,18.85,19.34,19.82
18110,19.82,19.82,18.85,18.85,18.85,19.82
18217,19.82,19.82,18.85,18.85,18.85,19.82
18324,19.82,19.82,18.85,18.85,18.85,19.82
18430,19.82,19.82,18.36,18.85,18.85,19.82
18538,19.82,19.82,18.36,18.85,18.85,19.82
18644,19.82,19.82,18.85,18.85,18.85,19.82
18752,19.82,19.82,18.85,18.85,19.34,19.82
18859,19.82,19.82,18.85,18.85,19.34,19.82
18965,19.82,19.82,18.85,18.85,18.85,19.82
19073,19.82,19.82,18.85,18.85,19.34,19.82
19179,19.82,19.82,18.85,18.85,19.34,19.82
19291,19.82,19.82,18.85,18.85,18.85,19.82
19397,19.82,19.82,18.85,18.85,18.36,19.82
19504,19.82,19.82,18.85,18.85,18.85,19.82
19611,19.82,19.82,18.85,18.85,18.85,19.82
19718,19.82,19.82,18.85,18.85,18.85,19.82
19825,19.82,19.82,18.85,18.85,18.85,19.82
19932,19.82,19.82,18.36,18.85,18.85,19.82
20038,19.82,19.82,18.85,18.85,18.36,19.82
20146,19.82,19.82,18.85,18.85,18.85,19.82
20252,19.82,19.82,18.85,18.85,18.85,19.82
20359,19.82,19.82,18.85,18.85,19.34,19.82
20466,19.82,19.82,18.85,18.85,18.85,19.82
20577,19.82,19.82,18.85,18.85,18.85,19.82
20684,19.82,19.82,18.85,18.85,19.34,19.82
20791,19.82,19.82,18.85,18.85,18.85,19.82
20897,19.82,19.82,18.36,18.85,18.36,19.82
21005,19.82,19.82,18.85,18.85,18.85,19.82
21111,19.82,19.82,18.85,18.85,18.85,19.82
21219,19.82,19.82,18.85,18.85,18.85,19.82
21325,19.82,19.82,18.85,18.85,18.85,19.82
21432,19.82,19.82,18.85,18.85,18.85,19.82
21539,20.31,19.82,18.85,18.85,18.85,19.82
21646,20.31,19.82,18.85,18.85,19.34,19.82
21753,19.82,19.82,19.34,18.85,19.34,19.82
21864,20.31,19.82,18.85,18.85,18.36,19.82
21970,20.31,19.82,18.85,18.85,18.85,19.82
22078,20.31,19.82,18.85,18.85,18.85,19.82
22184,20.31,19.82,18.85,18.85,18.85,19.82
22292,20.31,19.82,18.85,18.85,18.85,19.82
22398,19.82,19.82,18.85,18.85,18.85,19.82
22505,20.31,19.82,18.36,18.85,18.85,19.82
22612,20.31,19.82,18.85,18.85,19.34,19.82
22719,20.31,19.82,18.85,18.85,18.85,19.82
22827,20.31,19.82,18.85,18.85,18.85,19.82
22933,20.31,19.82,18.85,18.85,18.85,19.82
23040,20.31,19.82,18.85,18.85,18.85,19.82
23151,19.82,19.82,18.85,18.85,18.85,19.82
23258,20.31,19.82,18.85,18.85,19.34,19.82
23365,19.82,19.82,18.85,18.85,18.85,19.82
23472,20.31,19.82,18.85,18.85,18.85,19.82
23578,20.31,19.82,18.85,18.85,19.34,19.82
23686,20.31,19.82,18.85,18.85,18.85,19.82
23792,20.31,19.82,18.85,18.85,18.85,19.82
23900,20.31,19.82,18.85,18.85,18.85,19.82
24006,20.31,19.82,18.85,18.85,19.34,19.82
24113,20.31,19.82,18.85,18.85,18.85,19.82
24220,20.31,19.82,18.85,18.85,19.34,19.82
24327,20.31,19.82,18.85,18.85,19.34,19.82
24438,20.31,19.82,18.85,18.85,18.85,19.82
24545,20.31,19.82,18.85,18.85,18.85,19.82
24651,20.31,19.82,18.85,18.85,18.85,19.82
24759,20.31,19.82,18.85,18.85,19.34,19.82
24865,20.31,19.82,18.85,18.85,18.85,19.82
24973,20.31,19.82,18.85,18.85,18.85,19.82
25079,20.31,19.82,18.85,18.85,18.85,19.82
25186,20.31,19.82,18.85,18.85,18.85,19.82
25293,20.31,19.82,18.85,18.85,19.34,19.82
25400,20.31,19.82,18.85,18.85,18.85,19.82
25507,20.31,19.82,18.36,18.85,18.36,19.82
25614,20.31,19.82,18.85,18.85,18.85,19.82
25724,20.31,19.82,18.85,18.85,19.34,19.82
25832,20.31,19.82,18.85,18.85,18.85,19.82
25938,20.31,19.82,18.85,18.85,18.85,19.82
26046,20.31,19.82,18.85,18.85,19.34,19.82
26152,20.31,19.82,18.85,18.85,18.85,19.82
26259,20.31,19.82,18.85,18.85,18.85,19.82
26366,20.31,19.82,18.85,18.85,18.85,19.82
26473,20.31,19.82,18.85,18.85,18.85,19.82
26580,20.31,19.82,18.85,18.85,18.85,19.82
26687,20.31,19.82,18.85,18.85,19.34,19.82
26793,20.31,19.82,18.85,18.85,18.85,19.82
26901,20.31,19.82,18.85,18.85,18.85,19.82
27012,20.31,19.82,18.85,18.85,19.34,19.82
27118,20.31,19.82,18.85,18.85,18.85,19.82
27226,20.31,19.82,18.85,18.85,18.85,19.82
27332,20.31,19.82,18.85,18.85,18.85,19.82
27440,20.31,19.82,18.85,18.85,18.85,19.82
27546,20.31,19.82,18.85,18.85,18.85,19.82
27653,20.31,19.82,18.85,18.85,19.34,19.82
27760,20.31,19.82,18.85,18.85,19.34,19.82
27867,20.31,19.82,18.85,18.85,19.34,19.82
27974,20.31,19.82,18.85,18.85,18.85,19.82
28081,20.31,19.82,18.36,18.85,18.85,19.82
28187,20.31,19.82,18.85,18.85,18.85,19.82
28299,20.31,19.82,18.85,18.85,18.85,19.82
28405,20.31,19.82,18.85,18.85,18.85,19.82
28513,20.8,19.82,18.85,18.85,18.85,19.82
28619,20.31,19.34,18.85,18.85,18.85,19.82
28726,20.31,19.82,18.85,18.85,18.85,19.82
28833,20.8,19.82,18.85,18.85,19.34,19.82
28940,20.31,19.82,18.85,18.85,18.36,19.82
29047,20.8,19.82,18.85,18.85,19.34,19.82
29154,20.31,19.82,18.85,18.85,18.85,19.82
29260,20.31,19.82,18.85,18.85,18.85,19.82
29368,20.8,19.82,18.85,18.85,18.36,19.82
29478,20.8,19.82,19.34,18.85,19.34,19.82
29586,20.8,19.82,18.85,18.85,18.85,19.82
29692,20.8,19.82,18.85,18.85,19.34,19.82
29799,20.31,19.82,18.36,18.85,18.85,19.82
29906,20.8,19.82,18.85,18.85,18.85,19.82
30013,20.8,19.82,18.85,18.85,19.34,19.82
30120,20.8,19.82,18.85,18.85,18.85,19.82
30227,20.8,19.82,18.85,18.85,18.85,19.82
30333,20.8,19.82,18.85,18.85,18.85,19.82
30441,20.8,19.82,18.85,18.85,18.85,19.82
30547,20.8,19.82,18.85,18.85,18.36,19.82
30654,20.8,19.82,18.85,18.85,18.85,19.82
30766,20.8,19.82,18.85,18.85,18.36,19.82
30872,20.8,19.82,18.85,18.85,18.85,19.82
30980,20.8,19.82,18.85,18.85,19.34,19.82
31086,20.8,19.82,18.85,18.85,18.85,19.82
31193,20.8,19.82,18.85,18.85,18.85,19.82
31300,20.8,19.82,18.85,18.85,18.36,19.82
31407,20.8,19.82,18.85,18.85,18.85,19.82
31513,20.8,19.82,18.85,18.85,18.85,19.82
31621,20.8,19.82,19.34,18.85,19.34,19.82
31727,20.8,19.82,18.85,18.85,19.34,19.82
31835,20.8,19.82,18.85,18.85,18.85,19.82
31941,20.8,19.82,18.85,18.85,19.34,19.82
32052,20.8,19.82,18.85,18.85,19.34,19.82
32159,20.8,19.82,18.85,18.85,18.85,19.82
32266,20.8,19.82,18.85,18.85,18.85,19.82
32373,20.8,19.82,18.85,18.36,19.34,19.82
32480,20.8,19.82,18.85,18.85,19.34,19.82
32586,20.8,19.82,18.85,18.85,19.34,19.82
32694,20.8,19.82,18.85,18.85,18.85,19.82
32800,20.8,19.82,18.85,18.85,18.85,19.82
32907,20.8,19.82,18.85,18.85,18.85,19.82
33014,20.8,19.82,18.85,18.85,18.85,19.82
33121,20.8,19.82,18.85,18.85,18.85,19.82
33228,20.8,19.82,18.85,18.85,18.85,19.82
33339,20.8,19.82,18.85,18.85,19.34,19.82
33445,20.8,19.82,18.85,18.85,18.85,19.82
33553,20.8,19.82,18.85,18.85,18.85,19.82
33659,20.8,19.82,18.85,18.85,18.85,19.82
33767,20.8,19.82,18.85,18.85,19.34,19.82
33873,20.8,19.82,18.85,18.85,18.85,19.82
33980,20.8,19.82,18.85,18.85,18.85,19.82
34087,20.8,19.82,18.85,18.85,18.85,19.82
34194,20.8,19.82,18.85,18.85,19.34,19.82
34300,20.8,19.82,18.85,18.85,18.85,19.82
34408,20.8,19.82,18.85,18.85,19.34,19.82
34514,20.8,19.82,18.36,18.85,18.36,19.82
34626,20.8,19.82,18.85,18.85,18.85,19.82
34733,20.8,19.82,18.36,18.85,18.85,19.82
34839,20.8,19.82,18.85,18.85,18.85,19.82
34947,20.8,19.82,18.85,18.85,18.85,19.82
35053,20.8,19.82,18.85,18.85,19.34,19.82
35161,20.8,19.82,18.85,18.85,18.85,19.82
35267,20.8,19.82,18.85,18.85,18.36,19.82
35374,20.8,19.82,18.85,18.85,18.85,19.82
35481,20.8,19.82,18.85,18.85,19.34,19.82
35588,20.8,19.82,18.85,18.85,18.85,19.82
35694,20.8,19.82,18.85,18.85,18.85,19.82
35802,20.8,19.82,18.85,18.85,19.34,19.82
35912,20.8,19.82,18.85,18.85,18.85,20.31
36020,21.29,19.82,18.36,18.85,18.85,19.82
36126,20.8,19.82,18.85,18.85,18.85,19.82
36233,21.29,19.82,18.85,18.85,18.85,19.82
36340,20.8,19.82,18.85,18.85,18.85,19.82
36447,21.29,19.82,18.85,18.85,19.34,19.82
36554,21.29,19.82,18.85,18.85,18.85,19.82
36661,21.29,19.82,18.85,18.85,18.85,19.82
36767,21.29,19.82,18.85,18.85,19.34,19.82
36875,21.29,19.82,18.85,18.85,18.85,19.82
36981,21.29,19.82,18.36,18.85,18.36,19.82
37088,21.29,19.82,18.85,18.85,18.85,20.31
37199,21.29,19.82,18.85,18.85,18.85,19.82
37306,21.29,19.82,18.85,18.85,18.85,19.82
37413,21.29,19.82,18.85,18.85,19.34,19.82
37520,21.29,19.82,19.34,18.85,19.34,19.82
37626,21.29,19.82,18.85,18.85,18.85,19.82
37734,21.29,19.82,18.85,18.85,18.36,19.82
37840,21.29,19.82,18.85,18.85,18.36,19.82
37948,21.29,19.82,18.85,18.85,19.34,19.82
38054,21.29,19.82,18.85,18.85,18.85,20.31
38161,21.29,19.82,18.85,18.85,18.85,19.82
38268,21.29,19.82,18.85,18.85,19.34,19.82
38375,21.29,19.82,18.85,18.85,18.85,19.82
38487,21.29,19.82,18.85,18.85,18.85,19.82
38593,21.29,19.82,18.85,18.85,19.34,19.82
38700,21.29,19.82,18.36,18.85,18.85,19.82
38807,21.29,19.82,18.36,18.85,18.36,19.82
38914,21.29,19.82,18.85,18.85,19.34,19.82
39021,21.29,19.82,18.85,18.85,18.85,19.82
39128,21.29,19.82,18.85,18.85,18.85,19.82
39234,21.29,19.82,18.85,18.85,19.34,19.82
39342,21.29,19.82,18.85,18.85,18.36,19.82
39448,21.29,19.82,18.85,18.85,18.36,19.82
39556,21.29,19.82,18.85,18.85,19.34,19.82
39662,21.29,19.82,19.34,18.85,19.34,19.82
39773,21.29,19.82,18.85,18.85,18.36,19.82
39880,21.29,19.82,18.85,18.85,18.85,19.82
39987,21.29,19.82,18.85,18.85,18.85,19.82
40094,21.29,19.82,18.85,18.85,19.34,19.82
40201,21.29,19.82,18.85,18.85,18.85,19.82
40307,21.29,19.82,18.85,18.85,18.36,19.82
40415,21.29,19.82,18.85,18.85,19.34,19.82
