Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5584,19.82,18.85,18.85,18.85,18.36,19.82
5691,19.82,18.85,18.85,18.85,18.36,19.82
5797,19.82,18.85,18.85,18.85,18.36,19.82
5905,20.31,18.85,18.85,18.85,18.36,19.34
6011,19.82,18.85,18.85,18.85,18.36,19.82
6118,19.82,18.85,18.85,18.85,18.36,19.82
6225,19.82,18.85,18.85,18.85,18.36,19.82
6332,19.82,18.85,18.85,18.85,18.36,19.82
6438,19.82,18.85,18.85,18.85,18.36,19.82
6546,19.82,18.85,18.85,18.85,18.36,19.82
6652,19.82,18.85,18.85,19.34,18.36,19.82
6759,20.31,18.85,18.85,18.85,18.36,19.82
6914,19.82,18.85,18.85,18.85,18.36,19.82
7020,19.82,18.85,18.85,18.85,18.36,19.82
7127,20.31,18.85,18.85,19.34,18.36,19.82
7234,19.82,18.85,18.85,18.85,18.36,19.34
7341,19.82,18.85,18.85,18.85,18.36,19.82
7447,20.31,18.85,18.85,18.85,18.36,19.82
7555,19.82,18.85,18.85,18.85,18.36,19.82
7661,19.82,18.85,18.85,18.85,18.36,19.82
7768,19.82,18.85,18.85,18.85,18.36,19.82
7875,19.82,18.85,18.85,18.85,18.36,19.82
7982,20.31,18.85,18.85,18.85,18.36,19.82
8088,20.31,18.85,18.85,18.85,18.36,19.82
8199,19.82,18.85,18.85,18.85,18.36,19.82
8306,19.82,18.85,18.85,18.85,18.36,19.82
8413,20.31,18.85,18.85,18.85,18.36,19.82
8519,19.82,18.85,18.85,19.34,18.36,19.82
8627,20.31,18.85,18.85,18.85,18.36,19.82
8733,19.82,18.85,18.85,19.34,18.36,19.82
8840,19.82,18.85,18.85,18.85,18.36,19.82
8947,20.31,18.85,18.85,18.85,18.36,19.82
9054,19.82,18.85,18.85,19.34,18.36,19.82
9160,20.31,18.85,18.85,18.85,18.36,19.82
9268,20.31,18.85,18.85,18.85,18.36,19.34
9374,20.31,18.85,18.85,18.85,18.36,19.82
9485,20.31,18.85,18.85,18.85,18.36,19.82
9592,20.31,18.85,18.85,18.85,18.36,19.82
9699,20.31,18.85,18.85,18.85,18.36,19.82
9805,20.31,18.85,18.85,19.34,18.36,19.82
9913,20.31,18.85,18.85,19.34,18.36,19.82
10019,20.31,18.85,18.85,18.85,18.36,19.82
10126,20.31,18.85,18.85,18.85,18.36,19.82
10233,20.31,18.85,18.85,18.85,18.36,19.82
10340,20.31,18.85,18.85,19.34,18.36,19.82
10447,20.31,18.85,18.85,18.85,18.36,19.82
10554,20.31,18.85,18.85,18.85,18.36,19.82
10660,20.31,18.85,18.85,19.34,18.36,19.82
10772,20.31,18.85,18.85,18.85,18.36,19.82
10878,20.31,18.85,18.85,18.85,18.36,19.82
10986,20.31,18.85,18.85,18.85,18.36,19.82
11092,20.31,18.85,18.85,18.85,18.36,19.82
11199,20.31,18.85,18.85,18.85,18.36,19.82
11307,20.31,18.85,18.85,19.34,18.36,19.82
11413,20.31,18.85,18.85,19.34,18.36,19.82
11521,20.31,18.85,18.85,18.85,18.36,19.82
11627,20.31,18.85,19.34,18.85,18.36,19.82
11734,20.31,18.85,18.85,19.34,18.36,19.82
11841,20.31,18.85,18.85,19.34,18.36,19.82
11948,20.31,18.85,18.85,19.34,18.36,19.82
12059,20.31,18.85,18.85,19.34,18.36,19.82
12166,20.31,18.85,18.85,18.85,18.36,19.82
12272,20.31,18.85,18.85,18.85,18.36,19.82
12380,20.31,18.85,18.85,19.34,18.36,19.82
12486,20.31,18.85,18.85,19.34,18.36,19.82
12594,20.31,18.85,18.85,18.85,18.36,19.82
12700,20.31,18.85,18.85,18.85,18.36,19.82
12807,20.31,18.85,18.85,18.85,18.36,19.82
12914,20.31,18.85,18.85,19.34,18.36,19.82
13021,20.31,18.85,18.85,19.34,18.36,19.82
13128,20.31,18.85,18.85,18.85,18.36,19.82
13235,20.31,18.85,18.85,18.85,18.36,19.82
13345,20.31,18.85,18.85,19.34,18.36,19.82
13453,20.31,18.85,18.85,18.85,18.36,19.82
13559,20.31,18.85,18.85,18.85,18.36,19.82
13667,20.31,18.85,18.85,18.85,18.36,19.82
13773,20.31,18.85,18.85,18.85,18.36,19.82
13880,20.80,18.85,18.85,18.85,18.36,19.82
13987,20.80,18.85,18.85,18.85,18.36,19.82
14094,20.31,18.85,18.85,19.34,18.36,19.82
14201,20.80,18.85,18.85,18.85,18.36,19.82
14308,20.80,18.85,18.85,18.85,18.36,19.82
14414,20.80,18.85,18.85,18.85,18.36,19.82
14522,20.80,18.85,18.85,18.85,18.36,19.82
14632,20.80,18.85,18.85,18.85,18.36,19.82
14740,20.80,18.85,18.85,19.34,18.36,19.82
14846,20.80,18.85,18.85,18.85,18.36,19.82
14953,20.80,18.85,18.85,18.85,18.36,19.82
15060,20.80,18.85,18.85,18.85,18.36,19.82
15167,20.80,18.85,18.85,19.34,18.36,19.82
15273,20.80,18.85,18.85,18.85,18.36,19.82
15381,20.80,18.85,18.85,18.85,18.36,19.82
15488,20.80,18.85,18.85,18.85,18.36,19.82
15595,20.80,18.85,18.85,18.85,18.36,19.82
15702,20.80,18.85,18.85,18.85,18.36,19.82
15808,20.80,18.85,18.85,18.85,18.36,19.82
15920,20.80,18.85,18.85,19.34,18.36,19.34
16026,20.80,18.85,18.85,18.85,18.36,19.82
16134,20.80,18.85,18.85,18.85,18.36,19.82
16240,20.80,18.85,18.85,18.85,18.36,19.82
16347,20.80,18.85,18.85,18.85,18.36,19.82
16454,20.80,18.85,18.85,18.85,18.36,19.82
16561,20.80,18.85,18.85,19.34,18.36,19.82
16667,20.80,18.85,18.85,18.85,18.36,19.82
16775,21.29,18.85,18.85,18.85,18.36,19.82
16881,21.29,18.85,18.85,18.85,18.36,19.82
16989,20.80,18.85,18.85,18.85,18.36,19.82
17095,20.80,18.85,18.85,18.85,18.36,19.82
17206,21.29,18.85,18.85,18.85,18.36,19.82
17313,21.29,18.85,18.85,18.85,18.36,19.82
17420,21.29,18.85,18.85,19.34,18.36,19.82
17527,21.29,18.85,18.85,18.85,18.36,19.82
17634,21.29,18.85,18.85,18.85,18.36,19.34
17740,21.29,18.85,18.85,18.85,18.36,19.82
17848,21.29,18.85,18.85,18.85,18.36,19.82
17954,21.29,18.85,18.85,18.85,18.36,19.82
18062,21.29,18.85,18.85,19.34,18.36,19.82
18168,21.29,18.85,18.85,18.85,18.36,19.82
18275,21.29,18.85,18.85,19.34,18.36,19.82
18386,21.29,18.85,18.85,19.34,18.36,19.82
18493,21.29,18.85,18.85,18.85,18.36,19.34
18600,21.29,18.85,18.85,18.85,18.36,19.82
18707,21.29,18.85,18.85,18.85,18.36,19.82
18813,21.29,18.85,18.85,19.34,18.36,19.82
18921,21.29,18.85,18.85,18.85,18.36,19.34
19027,21.29,18.85,18.85,18.85,18.36,19.82
19135,21.29,18.85,18.85,19.34,18.36,19.82
19241,21.78,18.85,18.85,19.34,18.36,19.82
19348,21.78,18.85,18.85,18.85,18.36,19.82
19456,21.29,18.85,18.85,18.85,18.36,19.82
19562,21.78,18.85,19.34,18.85,18.36,19.82
19674,21.78,18.85,18.85,19.34,18.36,19.82
19780,21.78,18.85,18.85,18.85,18.36,19.82
19887,21.78,18.85,18.85,19.34,18.36,19.82
19994,21.78,18.85,18.85,18.85,18.36,19.82
20101,21.78,18.85,18.85,18.85,18.36,19.82
20208,21.78,18.85,18.85,19.34,18.36,19.34
20315,21.78,18.85,18.85,19.34,18.36,19.34
20421,21.78,18.85,18.85,18.85,18.36,19.82
20529,21.78,18.85,18.85,18.85,18.36,19.82
20635,21.29,18.85,18.85,18.85,18.36,19.82
20743,21.78,18.85,18.85,18.85,18.36,19.82
20849,21.78,18.85,18.85,19.34,18.36,19.82
20960,21.78,18.85,19.34,19.34,18.36,19.82
21067,21.78,18.85,18.85,18.85,18.36,19.82
21174,21.78,18.85,18.85,19.34,18.36,19.34
21281,21.78,18.85,18.85,18.85,18.36,19.82
21388,21.78,18.85,18.85,19.34,18.36,19.82
21494,21.78,18.85,18.85,18.85,18.36,19.82
21602,21.78,18.85,18.85,18.85,18.36,19.82
21708,21.78,18.85,18.85,18.85,18.36,19.34
21816,21.78,18.85,18.85,18.85,18.36,19.82
21922,22.27,18.85,18.85,19.34,18.36,19.82
22029,21.78,18.85,18.85,18.85,18.36,19.82
22136,21.78,18.85,18.85,18.85,18.36,19.82
22247,21.78,18.85,18.85,18.85,18.36,19.82
22354,21.78,18.85,18.85,19.34,18.36,19.82
22461,21.78,18.85,18.85,18.85,18.36,19.82
22567,22.27,18.85,18.85,18.85,18.36,19.82
22675,21.78,18.85,18.85,19.34,18.36,19.82
22781,22.27,18.85,18.85,18.85,18.36,19.82
22889,22.27,18.85,18.85,19.34,18.36,19.82
22995,22.27,18.85,18.85,19.34,18.36,19.34
23102,22.27,18.85,18.85,18.85,18.36,19.82
23209,22.27,18.85,18.85,19.34,18.36,19.82
23316,22.27,18.85,18.85,18.85,18.36,19.82
23424,22.27,18.85,18.85,18.85,18.36,19.82
23534,22.27,18.85,18.85,18.85,18.36,19.82
23641,22.27,18.85,18.85,18.85,18.36,19.82
23748,22.27,18.85,18.85,19.34,18.36,19.82
23855,22.27,18.85,18.85,19.34,18.36,19.82
23962,22.27,18.85,18.85,18.85,18.36,19.82
24069,22.27,18.85,18.85,19.34,18.36,19.82
24175,22.27,18.85,18.85,18.85,18.36,19.82
24283,22.27,18.85,18.85,18.85,18.36,19.82
24389,22.27,18.85,18.85,19.34,18.36,19.82
24497,22.27,18.85,18.85,19.34,18.36,19.82
24603,22.27,18.85,18.85,18.85,18.36,19.82
24710,22.27,18.85,18.85,19.34,18.36,19.82
24821,22.27,18.85,18.85,19.34,18.36,19.82
24928,22.27,18.85,18.85,18.85,18.36,19.82
25035,22.75,18.85,18.85,19.34,18.36,19.82
25142,22.75,18.85,18.85,19.34,18.36,19.82
25248,22.27,18.85,18.85,19.34,18.36,19.82
25356,22.27,18.85,18.85,19.34,18.36,19.82
25462,22.75,18.85,18.85,18.85,18.36,19.82
25570,22.75,18.85,18.85,18.85,18.36,19.82
25676,22.75,18.85,18.85,18.85,18.36,19.82
25783,22.27,18.85,18.85,19.34,18.36,19.82
25890,22.75,18.85,18.85,19.34,18.36,19.82
25997,22.75,18.85,18.85,18.85,18.36,19.82
26108,22.75,18.85,18.85,19.34,18.36,19.82
26215,22.75,18.85,18.85,19.34,18.36,19.82
26321,22.75,18.85,18.85,19.34,18.36,19.82
26429,22.75,19.34,18.85,19.34,18.36,19.82
26535,22.75,18.85,18.85,18.85,18.36,19.82
26643,22.75,18.85,18.85,19.34,18.36,19.82
26749,22.75,18.85,18.85,19.34,18.36,19.82
26856,22.75,18.85,18.85,19.34,18.36,19.82
26963,22.75,18.85,18.85,19.34,18.36,19.82
27070,22.75,19.34,18.85,18.85,18.36,19.82
27177,22.75,19.34,18.85,19.34,18.36,19.82
27284,22.75,19.34,18.85,19.34,18.36,19.82
27396,22.75,19.34,18.85,18.85,18.36,19.82
27502,22.75,19.34,19.34,19.34,18.36,19.82
27609,22.75,19.34,18.85,19.34,18.36,19.82
27716,22.75,19.34,18.85,19.34,18.36,19.82
27823,22.75,18.85,18.85,19.34,18.36,19.82
27930,22.75,18.85,18.85,18.85,18.36,19.82
28037,22.75,19.34,18.85,19.34,18.36,19.82
28143,22.75,19.34,18.85,18.85,18.36,19.82
28251,23.24,19.34,18.85,19.34,18.36,19.82
28357,23.24,19.34,18.85,19.34,18.36,19.82
28465,23.24,19.34,18.85,18.85,18.36,19.82
28571,23.24,19.34,19.34,18.85,18.36,19.82
28682,23.24,19.34,18.85,18.85,18.36,19.82
28789,23.24,18.85,18.85,19.34,18.36,19.82
28896,23.24,19.34,18.85,19.34,18.36,19.82
29003,23.24,19.34,19.34,18.85,18.36,19.82
29110,23.24,19.34,19.34,19.34,18.36,19.82
29216,23.24,19.34,18.85,19.34,18.36,19.82
29324,23.24,19.34,18.85,19.34,18.36,19.82
29430,23.24,19.34,18.85,18.85,18.36,19.82
29538,23.24,19.34,18.85,19.34,18.36,19.82
29644,23.24,19.34,18.85,19.34,18.36,19.82
29751,23.24,19.34,19.34,19.34,18.36,19.82
29858,23.24,19.34,18.85,19.34,18.36,19.82
29969,23.24,19.34,18.85,18.85,18.36,19.82
30076,23.24,19.34,19.34,19.34,18.36,19.82
30183,23.24,19.34,18.85,19.34,18.36,19.82
30289,23.24,19.34,19.34,19.34,18.36,19.82
30397,23.24,19.34,18.85,19.34,18.36,19.82
30503,23.24,19.34,18.85,19.34,18.36,19.82
30611,23.24,19.34,18.85,18.85,18.36,19.82
30717,23.24,19.34,19.34,19.34,18.36,19.82
30825,23.24,19.34,18.85,19.34,18.36,19.82
30931,23.24,19.34,18.85,19.34,18.36,19.82
31038,23.24,19.34,18.85,19.34,18.36,19.82
31150,23.73,19.34,18.85,18.85,18.36,19.82
31256,23.73,19.34,18.85,19.34,18.36,19.82
31364,23.73,19.34,18.85,19.34,18.36,19.82
31470,23.73,19.34,18.85,19.34,18.36,19.82
