Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5734,29.59,27.64,28.12,28.12,25.20,20.80
5841,29.59,27.64,28.12,28.12,24.71,20.31
5948,29.59,27.64,28.61,28.12,24.71,20.31
6054,29.10,27.64,28.12,28.12,24.71,20.31
6162,29.59,27.64,28.61,28.12,24.71,20.31
6268,29.59,27.64,28.12,28.12,24.22,20.31
6375,29.59,27.64,28.61,28.12,24.71,20.31
6482,29.59,27.64,28.61,28.12,24.71,20.31
6589,29.59,27.64,28.12,28.12,24.71,20.31
6695,29.59,27.64,28.12,28.12,24.71,20.31
6803,29.59,27.64,28.12,28.12,24.22,20.31
6909,29.59,27.64,28.12,28.12,24.71,20.31
7063,29.59,27.64,28.61,28.12,24.71,20.31
7171,29.59,27.64,28.61,28.12,24.71,20.31
7277,29.59,27.64,28.12,28.12,24.22,20.31
7384,29.10,27.64,28.61,28.12,24.71,20.31
7491,29.10,27.64,28.12,28.12,24.22,20.31
7598,29.59,27.64,28.12,28.12,24.71,20.31
7704,29.59,27.64,28.12,28.12,24.71,20.31
7812,29.59,27.64,28.12,28.12,24.71,20.31
7918,29.59,27.64,28.12,28.12,24.22,20.31
8025,29.59,27.64,28.12,28.12,24.71,20.31
8132,29.10,27.64,28.12,28.12,24.71,20.31
8239,29.59,27.64,28.12,28.12,24.71,20.31
8349,29.59,27.64,28.12,28.12,24.71,20.31
8457,29.59,27.64,28.12,28.12,24.71,20.31
8563,29.59,27.64,28.12,28.12,24.71,20.31
8670,29.59,27.64,28.12,28.12,24.71,20.31
8777,29.59,27.64,28.12,28.12,24.22,20.31
8884,29.59,27.64,28.61,28.12,24.71,20.31
8990,29.59,27.64,28.12,28.12,24.71,20.31
9098,29.59,27.64,28.12,28.12,24.22,20.31
9204,29.59,27.64,28.12,28.12,24.22,20.31
9311,29.59,27.64,28.12,28.12,24.22,20.31
9418,29.59,27.64,28.12,28.12,24.22,20.31
9525,29.59,27.64,28.12,28.12,24.22,20.31
9635,29.59,27.64,28.12,28.12,24.71,20.31
9743,29.59,27.64,28.61,28.12,24.22,20.31
9849,29.59,27.64,28.12,28.12,24.22,20.31
9956,29.59,27.64,28.61,28.12,24.71,20.31
10063,29.59,27.64,28.12,28.12,24.22,20.31
10170,29.59,27.64,28.12,28.12,24.22,20.31
10277,29.59,27.64,28.12,28.12,24.22,20.31
10384,29.59,27.64,28.61,28.12,24.22,20.31
10490,29.59,27.64,28.12,28.12,24.22,20.31
10598,29.10,27.64,28.12,28.12,24.22,20.31
10704,29.59,27.64,28.12,28.12,24.22,20.31
10812,29.59,27.64,28.12,28.12,24.22,20.31
10923,29.59,27.64,28.12,28.12,24.71,20.31
11029,29.59,27.64,28.61,28.12,24.22,20.31
11137,29.59,27.64,28.12,28.12,24.22,20.31
11243,29.59,27.64,28.61,28.12,24.71,20.31
11351,29.59,27.64,28.12,28.12,24.22,20.31
11457,29.59,27.64,28.12,28.12,24.22,20.31
11565,29.59,27.64,28.12,28.12,24.22,20.31
11671,29.59,27.64,28.12,28.12,24.71,20.31
11778,29.59,27.64,28.12,28.12,24.71,20.31
11885,29.59,27.64,28.12,28.12,24.71,20.31
11992,29.59,27.64,28.12,28.12,24.71,20.31
12099,29.59,27.64,28.12,28.12,24.71,20.31
12210,29.59,27.64,28.12,28.12,24.71,20.31
12316,29.59,27.64,28.12,28.12,24.71,20.31
12424,29.59,27.64,28.12,28.12,24.22,20.31
12530,29.59,27.64,28.61,28.12,24.71,20.31
12638,29.59,27.64,28.12,28.12,24.71,20.31
12744,29.59,27.64,28.12,28.12,24.71,20.31
12852,29.59,27.64,28.61,28.12,24.71,20.31
12958,29.59,27.64,28.61,28.12,24.71,20.31
13065,29.59,27.64,28.61,28.12,24.71,20.31
13172,29.59,27.64,28.12,28.12,24.22,20.31
13279,29.59,27.64,28.12,28.12,24.22,20.31
13386,29.59,27.64,28.61,28.12,24.71,20.31
13497,29.59,27.64,28.12,28.12,24.22,20.31
13603,29.59,27.64,28.12,28.12,24.22,20.31
13711,29.59,27.64,28.12,28.12,24.71,20.31
13817,29.59,27.64,28.12,28.12,24.71,20.31
13925,29.59,27.64,28.12,28.12,24.22,20.31
14031,29.59,27.64,28.12,28.12,24.22,20.31
14139,29.59,27.64,28.61,28.12,24.71,20.31
14245,29.59,27.64,28.61,28.12,24.71,20.31
14352,29.59,27.64,28.12,28.12,24.71,20.31
14459,29.59,27.64,28.12,28.12,24.71,20.31
14566,29.59,27.64,28.12,28.12,24.22,20.31
14673,29.59,27.64,28.61,28.12,24.71,20.31
14784,29.59,27.64,28.12,28.12,24.71,20.31
14891,29.59,27.64,28.12,28.12,24.71,20.31
14998,29.59,27.64,28.12,28.12,24.71,20.31
15105,29.59,27.64,28.12,28.12,24.71,20.31
15212,29.59,27.64,28.12,28.12,24.22,20.31
15319,29.59,27.64,28.12,28.12,24.22,20.31
15426,29.59,27.64,28.61,28.12,24.71,20.31
15533,29.59,27.64,28.61,28.12,24.71,20.31
15639,30.08,27.64,28.61,28.12,24.71,20.31
15747,30.08,27.64,28.12,28.12,24.71,20.31
15853,30.08,27.64,28.12,28.12,24.22,20.31
15961,29.59,27.64,28.12,28.12,24.71,20.31
16071,30.08,27.64,28.12,28.12,24.71,20.31
16178,30.08,27.64,28.61,28.12,24.71,20.31
16285,30.08,27.64,28.12,28.12,24.22,20.31
16392,30.08,27.64,28.12,28.12,24.71,20.31
16499,30.08,27.64,28.12,28.12,24.71,20.31
16606,30.08,27.64,28.12,28.12,24.71,20.31
16712,30.08,27.64,28.12,28.12,24.71,20.31
16820,30.08,27.64,28.12,28.12,24.22,20.31
16926,30.08,27.64,28.61,28.12,24.22,20.31
17034,30.08,27.64,28.12,28.12,24.71,20.31
17140,30.08,27.64,28.12,28.12,24.71,20.31
17251,30.08,27.64,28.61,28.12,24.71,20.31
17358,30.08,27.64,28.12,28.12,24.22,20.31
17465,30.08,27.64,28.12,28.12,24.71,20.31
17572,30.08,27.64,28.61,28.12,24.71,20.31
17679,30.08,27.64,28.12,28.12,24.71,20.31
17785,30.08,27.64,28.61,28.12,24.71,20.31
17893,30.08,27.64,28.61,28.12,24.71,20.31
17999,30.08,27.64,28.12,28.12,24.22,20.31
18107,30.08,27.64,28.61,28.12,24.71,20.31
18213,30.08,27.64,28.61,28.12,24.71,20.31
18321,30.08,27.64,28.12,28.12,24.22,20.31
18427,30.08,27.64,28.61,28.12,24.71,20.31
18538,30.08,27.64,28.12,28.12,24.71,20.31
18646,30.08,27.64,28.61,28.12,24.71,20.31
18752,30.08,27.64,28.12,28.12,24.71,20.31
18860,30.08,27.64,28.12,28.12,24.22,20.31
18966,30.08,27.64,28.12,28.12,24.71,20.31
19073,30.08,27.64,28.12,28.12,24.71,20.31
19180,30.08,27.64,28.61,28.12,24.71,20.31
19287,30.08,27.64,28.12,28.12,24.71,20.31
19394,30.08,27.64,28.12,28.12,24.71,20.31
19501,30.08,27.64,28.61,28.12,24.71,20.31
19607,30.08,27.64,28.12,28.12,24.71,20.31
19715,30.08,27.64,28.61,28.12,24.71,20.31
19825,30.08,27.64,28.61,28.12,25.20,20.31
19933,30.08,27.64,28.61,28.12,25.20,20.31
20039,30.08,27.64,28.12,28.12,24.71,20.31
20146,30.08,27.64,28.61,28.12,24.71,20.31
20253,30.08,27.64,28.12,28.12,24.71,20.31
