Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5
0,33.98,32.52,32.52,32.03,31.05
1001,33.98,32.52,32.52,32.03,31.05
2003,33.98,32.52,32.52,32.03,31.05
3007,33.98,32.52,33.01,32.03,31.05
4009,33.98,32.52,32.52,32.03,31.05
5012,33.98,32.52,32.52,32.03,31.05
6014,33.98,32.52,32.52,31.54,31.05
7017,33.98,32.03,32.52,32.03,31.05
8019,33.50,32.03,32.52,32.03,31.05
9022,33.98,32.03,32.52,32.03,31.05
10024,33.98,32.03,32.52,32.03,30.57
11027,33.98,32.03,32.52,32.03,31.05
12029,33.98,32.03,32.52,32.03,31.05
13032,33.98,32.03,32.52,31.54,30.57
14034,33.98,32.03,32.52,32.03,30.57
15037,33.50,32.03,32.52,32.03,30.57
16039,33.50,32.03,32.03,32.03,31.05
17042,33.50,32.03,32.03,31.54,30.57
18044,33.98,32.52,32.52,32.03,30.57
19047,33.50,32.03,32.03,32.03,30.57
20049,33.98,32.03,32.52,31.54,31.05
21052,33.50,32.03,32.03,31.54,30.57
22054,33.98,32.03,32.52,32.03,31.05
23057,33.50,32.03,32.52,32.03,31.05
24059,33.98,32.52,32.52,32.03,31.05
25062,33.98,32.03,32.52,31.54,31.05
26064,33.50,32.03,32.03,31.54,31.05
27068,33.50,32.03,32.03,31.54,30.57
28070,34.47,32.52,32.52,32.03,31.05
29073,33.50,32.03,32.52,31.54,31.05
30075,33.98,32.03,32.03,32.03,31.05
31078,33.98,32.03,32.03,31.54,30.57
32080,33.98,32.03,32.03,31.54,31.05
33083,33.98,32.03,32.03,32.03,30.57
34085,33.98,31.54,32.03,31.54,30.57
35088,33.98,32.03,32.03,32.03,31.05
36090,33.98,32.03,32.03,31.54,30.57
37093,33.50,31.54,32.03,31.54,30.57
38095,33.50,32.03,32.03,31.54,30.57
39098,33.98,32.03,32.03,32.03,31.05
40100,33.50,32.03,32.03,31.54,30.57
41103,33.98,32.03,32.03,31.54,30.57
42105,33.50,31.54,32.03,31.54,30.57
43108,33.50,31.54,32.03,31.54,31.05
44110,33.98,31.54,32.03,31.54,30.57
45114,33.98,31.54,32.03,32.03,30.57
46116,33.98,32.03,32.03,31.54,30.57
47119,33.50,32.03,32.03,31.54,30.57
48121,33.98,31.54,31.54,31.54,30.57
49124,33.50,31.54,32.03,31.54,30.57
50126,33.50,31.54,32.03,31.54,30.08
51129,33.50,31.54,32.03,31.54,30.57
52131,33.50,31.54,31.54,31.54,30.57
53134,33.50,31.54,32.03,31.54,30.57
54136,33.50,31.54,32.03,31.54,31.05
55139,33.50,31.54,32.03,31.54,31.05
56141,33.50,31.54,32.03,32.03,30.57
57144,33.50,32.03,32.03,31.54,30.57
58146,33.50,31.54,32.03,31.54,31.05
59149,33.50,31.54,32.03,31.54,31.05
60151,33.50,31.54,32.03,31.54,30.57
61154,33.01,31.54,32.03,31.54,31.05
62157,33.50,31.54,31.54,31.54,31.05
63160,33.50,31.54,32.03,31.54,30.57
64162,33.50,31.54,31.54,31.54,30.57
65165,33.01,31.54,31.54,31.54,30.57
66167,33.01,31.54,31.54,31.54,31.05
67170,33.50,31.54,31.54,32.03,30.57
68172,33.01,31.54,31.54,31.54,31.05
69175,33.01,31.54,31.54,31.54,31.05
70177,33.50,31.54,32.03,31.54,30.57
71180,33.50,31.54,31.54,31.05,30.57
72182,33.01,31.54,31.54,31.54,30.57
73185,33.01,31.54,31.54,31.54,30.57
74187,33.01,31.05,31.54,31.54,30.57
75190,33.50,31.54,32.03,31.54,30.57
76192,33.01,31.05,31.54,31.54,30.57
77195,33.50,31.54,32.03,31.54,31.05
78198,33.01,31.54,31.54,31.54,30.57
79201,33.01,31.05,31.54,31.05,30.57
80203,33.01,31.05,31.54,31.05,30.57
81206,33.01,31.05,31.54,31.05,30.57
82208,33.01,31.05,31.54,31.54,30.57
83211,33.01,31.05,31.54,31.05,30.08
84213,33.01,31.05,31.54,31.05,30.57
85216,33.01,31.05,31.54,31.05,30.08
86218,33.01,31.05,31.54,31.54,30.57
87221,33.01,31.05,31.54,31.05,30.08
88223,33.01,31.05,31.54,31.05,30.57
89226,33.01,31.05,31.54,31.05,31.05
90228,33.01,31.05,31.54,31.54,30.57
91231,33.01,31.05,31.54,31.05,30.57
92233,33.01,31.05,31.05,31.05,30.08
93236,33.01,31.05,31.54,31.05,30.57
94238,33.01,31.05,31.54,31.05,30.08
95241,33.01,31.05,31.54,31.05,30.57
96243,32.52,31.05,31.54,31.05,31.05
97247,32.52,31.05,31.54,31.54,30.57
98249,32.52,31.05,31.54,31.05,30.57
99252,32.52,31.05,31.54,31.05,30.57
100254,32.52,31.05,31.54,31.05,30.57
101257,32.52,31.05,31.05,31.05,30.08
102259,32.52,30.57,31.05,31.05,30.08
103262,33.01,31.05,31.54,31.05,30.08
104264,32.52,31.05,31.05,31.05,30.57
105267,32.52,30.57,31.05,31.05,30.08
106269,32.52,31.05,31.05,31.05,30.57
107272,32.52,31.05,31.54,31.05,30.57
108274,32.52,30.57,31.54,31.05,30.57
109278,32.52,30.57,31.05,31.05,30.08
110280,32.52,30.57,31.54,31.05,30.57
111283,33.01,31.05,31.05,31.05,30.57
112285,33.01,30.57,31.54,31.05,30.57
113288,32.52,30.57,31.05,31.05,30.08
114290,32.52,30.57,31.54,31.05,30.57
115293,33.01,31.05,31.54,31.05,30.08
116295,33.01,30.57,31.54,31.05,30.57
117298,32.52,30.57,31.54,31.54,30.57
118300,32.52,31.05,31.54,31.05,30.57
119304,32.52,30.57,31.05,31.05,30.57
120306,32.52,31.05,31.05,31.05,30.57
121309,32.52,30.57,31.05,31.05,30.57
122311,33.01,30.57,31.05,31.05,30.08
123314,32.52,30.57,31.05,31.05,30.08
124316,32.52,30.57,31.05,31.05,30.57
125319,32.52,30.57,31.05,31.05,30.08
126321,32.52,30.57,31.05,31.05,30.08
127324,32.52,30.57,31.05,30.57,30.08
128326,32.52,30.57,31.05,30.57,30.57
129330,32.52,30.57,31.05,31.05,30.08
130332,32.52,30.57,31.05,31.05,30.57
131335,32.52,30.57,31.05,30.57,30.08
132337,32.03,30.57,31.05,31.05,29.59
133340,32.03,30.57,31.05,30.57,30.08
134342,32.03,30.57,30.57,31.05,30.08
135345,32.52,30.57,31.05,31.05,30.08
136347,32.03,30.57,31.05,31.05,30.08
137350,32.03,30.08,31.05,31.05,30.08
138352,32.03,30.08,31.05,31.05,30.08
139355,32.03,30.57,30.57,31.05,30.08
140358,32.03,30.57,31.05,31.05,30.08
141361,32.03,30.08,30.57,30.57,30.08
142363,32.03,30.08,31.05,30.57,30.08
143366,32.03,30.08,30.57,30.57,30.08
144368,32.03,30.08,30.57,30.57,30.08
145371,32.03,30.08,31.05,31.05,30.08
146373,32.03,30.08,30.57,30.57,30.08
147376,32.03,30.08,30.57,30.57,30.08
148378,32.03,30.08,31.05,30.57,30.57
149381,32.03,30.08,31.05,31.05,30.08
150383,32.03,30.57,31.05,30.57,30.08
151387,32.03,30.08,30.57,30.57,30.08
152389,32.52,30.57,31.05,31.05,30.57
153392,32.03,30.57,30.57,30.57,30.08
154394,32.03,30.08,30.57,30.57,30.08
155397,31.54,30.08,30.57,31.05,29.59
156399,31.54,30.08,30.57,30.57,30.57
157402,32.03,30.08,31.05,31.05,30.08
158404,32.03,30.08,30.57,30.57,29.59
159407,32.03,30.08,30.57,30.57,30.08
160409,31.54,30.08,30.57,30.57,30.08
161413,31.54,30.08,30.57,30.57,30.08
162415,32.03,30.08,31.05,30.57,30.57
163418,31.54,30.08,30.57,30.57,30.08
164420,31.54,30.08,30.57,30.57,30.57
165423,32.03,30.08,30.57,30.57,30.57
166425,31.54,30.08,30.57,30.57,29.59
167428,31.54,30.08,30.57,30.57,30.08
168430,32.03,30.08,30.57,30.57,29.59
169433,32.03,30.08,30.57,30.57,29.59
170435,31.54,30.08,30.57,30.57,29.59
171439,31.54,30.08,30.57,30.57,29.59
172441,31.54,30.08,30.57,30.08,29.59
173444,31.54,29.59,30.57,30.08,29.59
174446,31.54,30.08,30.57,30.08,29.59
175449,31.54,30.08,30.57,30.57,30.08
176451,31.54,29.59,30.57,30.08,29.59
177454,31.54,30.08,30.57,30.08,29.59
178456,31.54,29.59,30.08,30.08,29.59
179459,31.54,29.59,30.57,30.08,29.59
180461,31.54,30.08,30.08,30.57,29.59
181464,31.54,30.08,30.57,30.08,29.59
182467,31.54,30.08,30.08,30.08,29.59
183470,31.54,30.08,30.57,30.08,29.59
184472,31.54,30.08,30.08,30.57,30.08
185475,31.54,30.08,30.57,30.57,29.59
186477,31.54,30.08,30.08,30.57,30.57
187480,31.54,30.08,30.57,30.57,29.59
188482,31.54,29.59,30.57,30.57,29.59
189485,31.54,30.08,30.57,30.08,30.08
190487,31.54,30.08,30.08,30.08,29.59
191490,31.54,30.08,30.57,30.57,30.08
192493,31.54,30.08,30.57,30.57,30.08
193496,31.54,30.08,30.08,30.08,29.59
194498,31.54,30.08,30.57,30.08,30.08
195501,31.54,30.08,30.57,30.57,30.08
196503,31.54,30.08,30.57,30.57,30.08
197506,31.54,30.08,30.57,30.08,29.59
198508,31.54,30.08,30.57,30.57,29.59
199511,31.54,30.08,30.57,30.57,29.59
200513,32.03,30.08,30.57,30.57,30.08
201516,31.54,30.08,30.57,30.57,30.08
202519,32.03,30.57,31.05,30.57,29.59
203522,32.03,30.08,30.57,30.57,30.08
204524,31.54,30.08,30.57,30.57,30.08
205527,31.54,30.08,30.57,30.57,29.59
206529,32.03,30.08,30.57,30.08,29.59
207532,31.54,30.08,30.57,30.08,29.59
208534,31.54,30.08,30.08,30.08,29.59
209537,31.54,30.08,30.08,30.08,30.08
210539,31.54,30.08,30.57,30.57,30.08
211542,31.54,30.08,30.08,30.57,29.59
212545,31.54,30.08,30.57,30.57,29.59
213548,31.54,30.08,30.57,30.08,29.59
214550,31.54,30.08,30.08,30.57,29.59
215553,31.54,30.08,30.08,30.08,29.59
216555,31.54,29.59,30.57,30.08,29.59
217558,31.54,29.59,30.08,30.08,29.59
218560,31.54,30.08,30.08,30.08,29.59
219563,31.54,30.08,30.08,30.57,29.59
220565,31.54,29.59,30.08,30.08,29.59
