Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5665,20.31,19.34,19.34,19.82,18.85,19.82
5772,20.31,19.34,19.34,19.82,18.85,19.82
5879,20.31,19.34,19.34,19.82,18.85,19.82
5986,20.31,19.34,19.34,19.82,18.85,19.82
6092,20.31,19.34,19.34,19.82,18.85,19.82
6200,20.31,19.34,19.34,19.34,18.85,19.82
6306,20.31,19.34,19.34,19.34,18.85,19.82
6413,20.31,19.34,19.34,19.34,18.85,19.82
6520,20.31,19.34,19.34,19.82,18.85,19.82
6627,20.31,19.34,19.34,19.82,18.85,19.82
6733,20.31,19.34,19.34,19.82,18.85,19.82
6841,20.31,19.34,19.34,19.34,18.85,19.82
6994,20.31,19.34,19.34,19.82,18.85,19.82
7101,20.31,19.34,19.34,19.34,18.85,19.82
7208,20.31,19.34,19.34,19.82,18.85,19.82
7315,20.31,19.34,19.34,19.82,18.85,19.82
7421,20.31,19.34,19.34,19.82,18.85,19.82
7529,20.31,19.34,19.34,19.34,18.85,19.82
7635,20.31,19.34,19.34,19.82,18.85,19.82
7742,20.31,19.34,19.34,19.34,18.85,19.82
7849,20.31,19.34,19.34,19.82,18.85,19.82
7956,20.31,19.34,19.34,19.82,18.85,19.82
8062,20.31,19.34,19.34,19.34,18.85,19.82
8170,20.31,19.34,19.34,19.34,18.85,19.82
8281,20.31,19.34,19.34,19.34,18.85,19.82
8387,20.31,19.34,19.34,19.34,18.85,19.82
8495,20.31,19.34,19.34,19.82,18.85,19.82
8601,20.31,19.34,19.34,19.34,18.36,19.82
8708,20.31,19.34,19.34,19.34,18.36,19.82
8815,20.31,19.34,19.34,19.34,18.85,19.82
8922,20.31,19.34,19.34,19.34,18.85,19.82
9028,20.31,19.34,19.34,19.82,18.36,19.82
9136,20.31,19.34,19.34,19.82,18.85,19.82
9242,20.31,19.34,19.34,19.82,18.36,19.82
9349,20.31,19.34,19.34,19.34,18.85,19.82
9456,20.31,19.34,19.34,19.34,18.36,19.82
9567,20.31,19.34,19.34,19.82,18.36,19.82
9673,20.31,19.34,19.34,19.34,18.85,19.82
9781,20.31,19.34,19.34,19.82,18.85,19.82
9887,20.31,19.34,19.34,19.82,18.36,19.82
9994,20.31,19.34,19.34,19.34,18.36,19.82
10101,20.31,19.34,19.34,19.34,18.85,19.82
10208,20.31,19.34,19.34,19.34,18.36,19.82
10314,20.31,19.34,19.34,19.34,18.36,19.82
10422,20.31,19.34,19.34,19.82,18.36,19.82
10528,20.31,19.34,19.34,19.34,18.36,19.82
10636,20.31,19.34,19.34,19.34,18.85,19.82
10742,20.31,19.34,19.34,19.34,18.36,19.82
10854,20.31,19.34,19.34,19.34,18.36,19.82
10960,20.31,19.34,19.34,19.82,18.36,19.82
11067,20.31,19.34,19.34,19.34,18.85,19.82
11174,20.31,19.34,19.34,19.34,18.36,19.82
11281,20.31,19.34,19.34,19.34,18.36,19.82
11388,20.31,19.34,19.34,19.82,18.36,19.82
11495,20.31,19.34,19.34,19.34,18.36,19.82
11601,20.80,19.34,19.34,19.34,18.36,19.82
11709,20.31,19.34,19.34,19.34,18.36,19.82
11815,20.80,19.34,19.34,19.34,18.85,19.82
11923,20.31,19.34,19.34,19.34,18.85,19.82
12029,20.31,19.34,19.34,19.34,18.85,19.82
12140,20.80,19.34,19.34,19.34,18.36,19.82
12248,20.80,19.34,19.34,19.82,18.36,19.82
12354,20.31,19.34,19.34,19.82,18.36,19.82
12462,20.80,19.34,19.34,19.34,18.36,19.82
12568,20.80,19.34,19.34,19.34,18.85,19.82
12675,20.80,19.34,19.34,19.34,18.85,19.82
12782,20.80,19.34,19.34,19.34,18.36,19.82
12889,20.80,19.34,19.34,19.34,18.36,19.82
12996,20.80,19.34,19.34,19.34,18.36,19.82
13103,20.80,19.34,19.34,19.34,18.36,19.82
13209,20.80,19.34,19.34,19.82,18.36,19.82
13317,20.80,19.34,19.34,19.34,18.85,19.82
13427,20.80,19.34,19.34,19.34,18.36,19.82
13535,20.80,19.34,19.34,19.34,18.36,19.82
13641,20.80,19.34,19.34,19.34,18.36,19.82
13748,20.80,19.34,19.34,19.34,18.36,19.82
13855,20.80,19.34,19.34,19.34,18.85,19.82
13962,20.80,19.34,19.34,19.34,18.85,19.82
14069,20.80,19.34,19.34,19.34,18.36,19.82
14176,20.80,19.34,19.34,19.34,18.85,19.82
14282,20.80,19.34,19.34,19.82,18.36,19.82
14390,20.80,19.34,19.34,19.34,18.36,19.82
14496,20.80,19.34,19.34,19.34,18.85,19.82
14604,20.80,19.34,19.34,19.34,18.36,19.82
14714,20.80,19.34,19.34,19.34,18.85,19.82
14821,20.80,19.34,19.34,19.34,18.36,19.82
14928,20.80,19.34,19.34,19.34,18.36,19.82
15035,20.80,19.34,19.34,19.34,18.36,19.82
15142,20.80,19.34,19.34,19.34,18.36,19.82
15249,20.80,19.34,19.34,19.34,18.36,19.82
15355,20.80,19.34,19.34,19.34,18.36,19.82
15463,20.80,19.34,19.34,19.34,18.36,19.82
15569,20.80,19.34,19.34,19.34,18.36,19.82
15677,20.80,19.34,19.34,19.34,18.36,19.82
15783,20.80,19.34,19.34,19.34,18.36,19.82
15890,20.80,19.34,19.34,19.34,18.36,19.82
16002,20.80,19.34,19.34,19.82,18.36,19.82
16108,20.80,19.34,19.34,19.34,18.36,19.82
16216,20.80,19.34,19.34,19.34,18.36,19.82
16322,20.80,19.34,19.34,19.34,18.85,19.82
16429,20.80,19.34,19.34,19.34,18.85,19.82
16536,20.80,19.34,19.34,19.34,18.85,19.82
16643,20.80,19.34,19.34,19.34,18.85,19.82
16750,20.80,19.34,19.34,19.34,18.36,19.82
16857,20.80,19.34,19.34,19.34,18.36,19.82
16963,21.29,19.34,19.34,19.34,18.85,19.82
17071,20.80,19.34,19.34,19.34,18.36,19.82
17177,21.29,19.34,19.34,19.34,18.36,19.82
17289,21.29,19.34,19.34,19.34,18.36,19.82
17395,21.29,19.34,19.34,19.34,18.85,19.82
