Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5348,21.78,20.80,20.80,20.80,20.80,20.80
6354,21.78,20.31,20.80,20.80,20.80,20.31
7361,21.78,20.80,20.80,20.31,20.80,20.31
8368,21.78,20.31,20.80,20.31,20.80,20.31
9374,21.78,20.80,20.80,20.31,20.80,20.31
10382,21.78,20.31,20.80,20.80,20.31,20.31
11388,21.78,20.80,20.80,20.80,20.80,20.31
12395,21.78,20.80,20.80,20.31,20.80,20.31
13402,21.78,20.31,20.80,20.80,20.80,20.31
14408,21.78,20.31,20.80,20.80,20.80,20.31
15416,21.78,20.80,20.80,20.80,20.31,20.31
16437,21.78,20.31,20.80,20.80,20.80,20.31
17444,21.78,20.31,20.80,20.80,20.80,20.31
18451,21.78,20.31,20.80,20.80,20.31,20.31
19458,21.78,20.31,20.80,20.80,20.80,20.31
20464,21.78,20.80,20.80,20.80,20.80,20.31
21471,21.78,20.31,20.80,20.80,20.31,20.31
22478,21.78,20.31,20.80,20.31,20.80,20.31
23485,21.78,20.80,20.80,20.80,20.80,20.31
24492,21.78,20.80,20.80,20.80,20.80,20.31
25498,23.24,21.78,21.78,21.78,20.80,20.80
26505,22.75,21.29,21.78,21.29,19.34,20.80
27512,22.27,21.29,21.78,20.80,20.31,20.31
28523,22.75,21.29,21.78,21.29,19.34,20.80
29530,22.75,21.29,21.29,21.29,19.34,20.31
30536,22.75,21.29,21.29,21.29,20.31,20.31
31543,22.75,21.29,21.78,20.80,19.82,20.80
32550,22.75,21.78,21.78,20.80,20.80,20.31
33557,23.24,21.29,21.78,20.80,20.31,20.80
34564,23.24,21.29,21.78,20.80,19.82,20.80
35570,23.24,21.78,21.29,21.29,20.80,19.82
36577,23.24,21.78,21.29,20.80,20.80,20.31
37584,23.73,21.29,21.78,21.29,19.34,20.80
38591,23.24,21.78,21.78,20.80,20.80,20.31
39598,23.73,21.78,21.29,20.80,20.80,19.82
40608,23.73,21.78,21.29,20.80,20.80,20.31
41615,23.73,21.78,21.29,21.29,20.31,20.31
42622,23.73,21.78,21.78,20.80,20.80,20.31
43629,24.22,21.29,21.78,21.29,19.34,20.31
44636,23.73,21.78,21.29,20.80,20.80,20.31
45642,24.22,21.78,21.29,21.29,20.31,19.82
46649,24.71,21.78,21.78,21.29,19.34,20.31
47656,24.22,21.29,21.78,21.29,19.34,20.80
48663,24.22,21.29,21.78,21.29,19.34,20.31
49670,24.22,21.29,21.29,21.29,19.34,20.31
50676,23.73,20.80,20.80,20.31,20.80,20.31
51684,23.73,20.80,20.80,20.80,20.80,20.31
52695,23.73,20.80,20.80,20.80,20.31,20.31
53701,24.22,21.29,21.29,20.80,21.29,20.80
