Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5350,26.17,24.71,25.20,25.20,25.20,22.75
6356,25.68,24.71,25.20,25.20,25.20,22.27
7363,25.68,24.71,25.20,25.20,25.20,22.75
8371,25.68,24.71,25.20,25.20,25.20,22.27
9377,25.68,24.71,25.20,25.20,25.20,22.27
10384,25.68,24.71,25.20,25.20,25.20,22.27
11390,25.68,24.71,25.20,25.20,25.20,22.27
12397,25.68,24.71,25.20,25.20,25.20,22.75
13405,25.68,24.71,25.20,25.20,25.20,22.27
14411,25.20,24.22,25.20,25.20,25.20,22.27
15418,25.68,24.71,25.20,25.20,25.20,22.27
16440,25.68,24.71,24.71,25.20,25.20,22.27
17447,25.68,24.71,25.20,25.20,25.20,22.27
18454,25.68,24.71,25.20,25.20,25.20,22.27
19461,26.17,25.20,25.20,24.71,21.78,21.29
20467,26.17,25.20,25.20,24.71,22.27,21.29
21475,26.17,25.20,25.20,24.71,22.27,21.29
22481,26.17,25.20,25.20,24.71,22.27,21.29
23488,26.17,25.20,25.68,24.22,22.27,20.80
24495,26.66,25.20,25.20,24.71,22.27,21.29
25502,26.66,25.20,25.20,24.22,22.27,20.80
26509,26.66,24.71,25.20,24.22,22.27,20.80
27515,26.66,25.20,25.20,24.71,22.27,21.29
28526,26.66,24.71,25.20,24.71,22.27,21.29
29533,26.66,25.20,25.20,24.71,22.27,21.29
30540,27.15,25.20,25.20,24.71,22.75,21.29
31547,27.15,25.20,25.20,24.71,22.27,20.80
32553,27.15,25.20,25.20,24.71,22.27,21.29
33560,27.15,25.20,25.20,24.71,22.27,20.80
34567,27.15,25.20,25.20,24.22,22.27,20.80
35574,27.64,25.20,25.20,24.71,22.27,21.29
36581,27.64,25.20,25.20,24.71,22.27,21.29
37587,27.64,25.20,25.20,24.22,22.27,21.29
38594,27.15,24.71,24.71,25.20,25.20,22.27
39602,27.15,24.71,24.71,25.20,25.20,22.27
40612,27.15,24.71,25.20,25.20,25.20,22.27
41619,27.64,24.71,24.71,25.20,25.20,22.27
42626,27.64,24.71,24.71,25.20,25.20,22.27
43632,27.64,24.71,24.71,25.20,24.71,22.27
44640,27.15,24.71,24.71,25.20,24.71,21.78
45646,27.64,24.71,25.20,25.20,25.20,22.27
46653,27.64,24.71,25.20,25.20,25.20,21.78
47660,27.64,24.71,24.71,25.20,24.71,22.27
48667,27.15,24.71,25.20,24.71,24.71,22.27
49674,27.15,24.71,24.71,24.71,24.71,21.78
50680,27.15,24.71,25.20,25.20,25.20,21.78
51687,27.15,24.71,24.71,25.20,25.20,22.27
52698,27.15,24.71,24.71,24.71,24.71,22.75
53705,27.15,24.71,25.20,25.20,25.20,22.27
54712,27.15,24.71,25.20,25.20,25.20,22.27
55718,27.15,24.71,25.20,24.71,25.20,22.27
56725,27.15,24.71,24.71,24.71,25.20,22.27
57733,27.64,25.68,25.68,24.71,22.27,21.29
58739,27.64,25.20,25.20,24.71,22.75,21.29
59746,27.64,25.20,25.20,24.71,22.27,21.29
60752,27.15,25.20,25.20,24.22,21.78,19.82
61760,27.64,25.20,25.20,24.71,22.75,21.29
62767,27.64,25.20,25.20,24.71,22.27,20.80
63773,27.64,25.20,25.20,24.22,22.75,21.29
64784,28.12,25.68,25.20,24.22,22.27,21.29
65790,28.12,25.20,25.20,24.22,22.27,21.29
66798,28.12,25.20,25.20,24.22,22.27,20.80
67805,28.12,25.20,25.68,24.71,22.27,20.80
68811,28.12,25.20,25.68,24.71,22.27,20.80
69818,28.12,25.68,25.20,24.22,22.27,20.80
70824,28.12,25.68,25.20,24.71,22.27,20.80
71832,28.61,25.68,25.20,24.22,22.27,20.80
72839,28.61,25.68,25.20,24.22,22.27,20.80
73845,28.61,25.20,25.20,24.22,22.27,20.80
74852,28.61,25.68,25.20,24.22,22.27,20.80
75859,28.61,25.68,25.68,24.22,22.75,21.29
76870,28.12,25.20,25.20,24.71,25.20,22.27
77877,28.12,25.20,25.20,24.71,25.20,21.78
78883,28.61,25.20,25.20,24.71,25.20,21.78
79890,28.61,25.20,25.20,24.71,25.20,21.78
80898,28.61,25.20,25.20,24.71,25.20,21.78
81904,28.61,25.20,25.20,24.71,25.20,21.78
82911,28.61,25.20,25.20,24.71,25.20,21.78
83917,28.61,25.20,25.20,24.71,25.20,21.78
84925,28.61,25.20,25.20,24.71,25.20,21.78
85932,28.61,25.20,24.71,24.71,25.20,21.78
86938,28.12,25.20,25.20,24.71,25.20,21.78
