Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5551,27.64,26.17,26.66,27.15,26.17,21.78
5657,27.64,26.17,26.17,26.66,26.17,21.78
5764,27.64,26.17,26.66,27.15,25.68,21.29
5871,27.64,26.17,26.66,27.15,26.17,21.78
5978,27.64,26.17,26.66,27.15,26.17,21.78
6084,27.64,26.17,26.66,27.15,26.17,21.78
6192,27.15,26.17,26.66,26.66,26.17,21.78
6298,27.64,26.17,26.17,26.66,25.68,23.24
6405,27.64,26.17,26.66,27.15,25.68,21.78
6512,27.64,26.17,26.66,26.66,26.17,21.78
6619,27.64,26.17,26.17,27.15,24.71,21.29
6725,27.64,26.17,26.66,27.15,26.17,21.78
6849,27.64,26.17,26.17,27.15,26.17,21.78
6956,27.64,26.17,26.17,26.66,25.68,21.78
7062,27.64,26.66,26.66,27.15,26.17,21.78
7170,27.64,26.17,26.66,27.15,25.20,21.78
7276,27.64,26.17,26.17,27.15,25.68,21.78
7383,27.64,26.17,26.17,27.15,26.17,21.78
7490,27.64,26.17,26.66,26.66,25.68,21.29
7597,27.64,26.17,26.66,26.66,25.68,21.78
7703,27.64,26.17,26.66,27.15,26.17,21.78
7810,27.64,26.17,26.17,27.15,26.17,21.78
7917,27.64,26.17,26.66,26.66,25.68,21.78
8024,27.64,25.68,25.68,26.66,26.17,21.78
8134,27.64,26.17,26.66,27.15,26.17,21.78
8241,27.64,26.17,26.66,27.15,26.17,21.78
8348,27.64,26.17,26.17,27.15,25.68,21.78
8455,27.64,26.17,26.17,27.15,26.17,21.78
8561,27.64,26.17,26.66,27.15,26.17,21.29
8669,27.64,26.17,26.66,27.15,26.17,21.78
8775,27.64,26.17,26.66,27.15,24.71,21.78
8882,27.64,26.17,26.66,27.15,27.15,21.78
8988,27.15,26.17,26.17,26.66,22.75,21.29
9096,27.64,26.17,26.17,26.66,25.68,21.78
9202,27.64,26.17,26.66,27.15,26.17,21.78
9309,27.64,26.17,26.66,27.15,26.17,21.78
9420,27.64,26.17,26.66,27.15,26.17,21.78
9527,27.64,26.17,26.66,26.66,25.68,22.27
9633,27.64,26.17,26.66,27.15,26.17,21.78
9740,27.64,26.17,26.17,26.66,25.68,21.29
9847,27.64,26.17,26.66,26.66,25.68,22.27
9954,27.64,26.17,26.17,26.66,25.68,21.29
10060,27.64,25.68,27.15,26.66,26.17,21.29
10168,27.64,26.17,26.66,26.66,25.68,21.78
10274,27.64,26.17,26.66,26.66,25.68,21.78
10381,27.64,26.17,26.17,26.66,25.68,21.29
10488,27.64,26.17,26.66,26.66,26.66,21.29
10595,27.64,26.17,26.17,27.15,26.17,21.29
10705,27.64,26.17,26.66,26.66,26.17,21.78
10812,27.64,26.17,26.66,26.66,28.61,21.78
10919,27.64,26.17,26.66,26.66,28.61,21.78
