Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5542,22.75,21.29,21.78,21.29,21.29,21.78
5650,22.75,21.78,21.78,21.29,18.85,21.78
5756,22.75,21.78,21.78,21.78,20.80,21.78
5863,22.75,21.78,21.78,21.78,20.80,21.78
5970,22.75,21.29,21.78,21.78,20.80,21.29
6077,22.75,21.78,21.78,21.78,20.31,21.78
6183,22.75,21.29,21.29,21.29,20.31,21.78
6290,22.75,21.29,22.27,21.78,20.80,21.78
6397,22.75,21.78,21.78,21.78,20.80,21.78
6504,22.75,21.78,21.78,21.78,20.31,21.78
6610,22.75,21.78,21.78,21.29,20.31,21.78
6718,22.27,21.29,21.29,20.80,23.24,21.78
6841,22.75,21.78,21.78,21.29,21.29,21.78
6948,22.75,21.78,21.78,21.78,20.31,21.78
7055,22.75,21.78,21.78,21.78,20.31,21.78
7161,22.75,21.78,21.29,21.78,20.80,21.78
7268,22.75,21.29,21.78,21.78,20.80,21.78
7375,22.27,21.78,21.78,21.29,20.80,21.78
7482,22.75,21.78,21.78,21.29,20.80,21.29
7588,22.75,21.78,21.78,21.78,20.80,21.78
7695,22.75,21.78,21.78,21.29,20.31,21.78
7802,22.75,21.78,21.78,21.29,20.80,21.78
7909,22.75,21.78,21.29,21.78,20.31,21.78
8015,22.75,21.29,21.29,20.80,19.82,21.29
8126,22.75,21.29,21.78,21.78,20.31,21.78
8233,22.75,21.29,21.78,21.29,20.31,21.78
8340,22.75,21.29,21.78,21.78,20.80,21.78
8446,22.75,21.78,21.78,21.78,20.80,21.78
8553,22.75,21.78,21.78,22.75,20.31,21.78
8660,22.75,21.29,21.78,21.29,21.78,21.78
8767,22.75,21.29,21.78,21.29,19.82,21.29
8873,22.75,21.78,21.78,21.29,20.80,21.78
8981,22.75,21.78,21.78,21.78,21.29,21.78
9088,22.75,21.29,21.29,21.29,20.31,21.78
9194,22.75,21.29,21.78,21.78,20.80,21.78
9300,22.75,21.29,21.29,21.29,27.15,21.78
9412,22.75,21.29,21.29,21.78,20.80,21.78
9519,22.75,21.78,21.78,21.78,20.31,21.29
9625,22.75,21.29,21.29,21.29,21.29,21.78
9732,22.75,21.29,21.29,21.29,20.80,21.78
9839,22.75,21.29,21.78,21.29,18.85,21.78
9946,22.75,21.78,21.29,21.29,20.31,22.27
10052,23.24,21.78,21.78,21.78,18.85,21.78
10160,22.27,21.29,21.78,21.78,20.80,21.78
10266,22.75,21.29,21.78,21.29,19.82,21.78
10373,22.75,21.29,21.29,21.29,21.29,21.78
10479,23.24,21.78,21.78,21.29,20.80,21.78
10587,22.75,21.29,21.29,22.75,20.80,21.78
10697,22.75,21.78,21.78,21.29,21.29,21.78
10804,22.75,21.29,21.78,21.29,20.80,22.27
10911,22.75,21.29,21.78,21.29,20.80,21.78
11018,22.75,21.78,21.78,21.29,19.82,21.78
11124,22.75,21.29,21.78,20.80,20.31,21.78
11232,23.24,21.29,21.78,21.29,20.31,21.78
11338,22.75,21.78,21.78,21.29,20.80,21.78
11445,22.75,21.29,21.78,21.78,20.31,21.78
11551,23.24,21.78,21.29,21.29,20.31,21.78
11659,22.75,21.29,21.78,20.80,20.80,21.29
11765,22.75,21.29,21.78,21.29,19.82,21.78
11872,23.24,21.78,21.29,21.29,20.31,21.29
11983,22.75,21.29,21.78,21.78,20.31,20.80
12090,23.24,21.29,21.78,21.78,20.80,21.29
12196,23.24,21.78,21.78,21.78,20.80,21.78
12304,23.24,21.78,22.27,21.29,20.80,21.78
12410,23.24,21.78,21.29,21.78,19.82,21.78
12517,23.24,21.29,21.78,21.29,20.80,19.34
12623,23.24,21.78,21.78,21.78,20.31,21.78
12731,23.24,21.78,21.78,21.29,20.80,21.78
12837,23.24,21.29,21.29,21.78,20.31,21.78
12944,23.24,21.29,21.78,21.29,20.80,21.78
13051,23.24,21.29,21.78,22.75,21.29,21.29
13158,23.24,21.78,21.29,21.78,24.71,21.78
13268,23.24,21.78,21.78,21.78,20.31,21.78
13376,23.24,21.78,21.78,21.29,21.29,21.78
13483,23.24,21.29,21.78,20.80,20.80,21.29
13589,23.24,21.29,21.78,21.29,20.31,21.78
13696,23.24,21.29,21.78,21.29,20.31,21.78
13803,23.24,21.78,21.78,21.29,20.80,22.27
13910,23.24,21.78,21.78,21.78,20.80,21.78
14016,23.24,21.29,21.78,21.29,20.31,21.29
14124,23.24,21.29,21.29,21.78,20.31,21.78
14230,23.24,21.29,21.78,21.78,21.78,22.27
14337,23.24,21.78,21.29,21.29,20.80,21.78
14444,23.24,21.29,21.29,21.78,20.80,21.29
14555,23.24,21.29,22.75,21.29,19.82,21.29
14661,23.24,21.29,21.29,21.29,20.31,21.29
14768,23.24,21.78,21.78,21.29,23.24,21.78
14875,23.24,21.78,21.78,23.24,20.31,21.78
14982,23.24,21.29,20.80,21.29,20.31,21.78
15088,23.24,22.27,21.29,21.29,20.80,21.29
15196,23.24,21.78,22.75,21.78,20.80,21.78
15302,23.24,21.78,21.78,21.29,19.82,21.78
