Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5595,24.22,22.75,23.24,22.27,20.80,21.29
5701,24.22,22.75,22.75,22.75,21.29,20.80
5809,24.22,22.75,23.24,22.27,20.80,21.29
5915,24.22,22.75,22.75,22.75,21.78,20.80
6022,24.22,22.75,22.75,22.27,21.29,20.80
6129,24.22,22.75,22.75,22.75,20.31,20.80
6236,24.22,22.75,22.75,22.75,20.80,21.29
6342,24.22,22.27,22.75,21.29,20.80,19.82
6449,24.22,22.75,22.75,22.75,20.31,20.80
6556,24.22,22.75,22.75,22.75,22.27,20.31
6663,24.22,22.75,23.24,22.75,21.29,20.80
6769,24.22,22.75,22.75,22.75,21.29,20.80
6898,24.22,22.75,23.24,22.75,21.29,20.80
7006,24.22,22.75,22.75,22.75,20.80,20.80
7112,24.22,22.75,22.75,22.27,22.27,21.29
7219,24.22,22.75,22.75,22.75,21.29,20.80
7326,23.73,22.27,22.75,22.75,20.80,20.80
7433,24.22,22.75,23.24,22.75,21.29,20.80
7539,24.22,22.75,22.75,22.27,21.78,21.29
7646,24.22,22.75,22.75,22.75,20.80,20.80
7753,24.22,23.24,22.75,22.27,21.29,21.29
7860,24.22,22.75,22.27,22.75,20.31,20.80
7966,24.22,22.75,22.75,22.27,19.34,21.29
8073,24.22,22.75,22.75,22.75,21.29,20.80
8184,24.22,22.75,22.75,22.75,21.29,20.31
8291,24.22,22.75,23.24,22.27,21.29,21.29
8397,24.22,22.75,22.75,22.75,21.29,20.80
8504,24.22,22.75,22.75,22.75,20.80,21.78
8611,24.22,22.75,23.24,22.75,20.80,21.29
8718,24.22,22.75,22.75,22.27,21.29,20.80
8824,24.22,22.75,22.75,22.27,20.80,20.31
8932,24.22,22.75,22.75,22.27,20.80,20.80
9038,24.22,22.75,22.75,22.75,21.29,20.80
9145,24.22,22.75,22.75,22.75,21.29,21.29
9251,24.22,22.75,23.24,22.75,21.29,20.80
9359,24.22,22.75,22.75,22.75,20.31,21.29
9469,24.22,22.75,23.24,22.75,21.29,21.78
9576,23.73,22.75,22.75,21.78,20.80,18.85
9682,24.22,22.75,22.75,22.27,20.80,21.29
9790,24.22,22.75,22.75,22.75,21.29,20.80
9896,24.22,22.75,22.75,22.75,21.29,21.29
10003,24.22,22.75,22.75,22.75,20.80,20.80
10110,24.22,22.75,23.24,22.27,21.29,21.29
10217,24.22,22.75,22.75,22.27,20.31,20.31
10323,24.22,22.75,22.75,22.27,20.80,20.80
10430,24.22,22.75,22.75,22.27,21.29,20.80
10537,24.22,22.75,22.75,22.75,21.29,20.80
10644,24.22,22.75,22.75,22.27,20.80,20.80
10755,24.22,22.75,23.24,22.75,21.29,21.29
10862,24.22,22.75,22.75,22.27,21.29,20.80
10969,24.22,22.75,22.75,22.75,21.29,20.80
11075,24.22,22.75,23.24,22.75,20.80,20.80
11183,24.22,22.75,22.75,22.75,20.80,21.29
11289,24.22,22.75,22.75,22.75,21.78,20.80
11396,24.22,22.75,22.75,22.75,21.29,18.85
11502,24.22,22.75,23.24,22.75,21.78,21.29
11610,24.22,22.75,22.75,22.75,21.29,20.80
11716,24.22,22.75,22.75,22.75,21.29,20.80
11823,24.22,22.75,22.75,22.75,20.80,17.87
11930,24.22,22.75,22.75,22.75,21.78,20.80
12041,24.22,22.27,22.75,22.27,21.29,20.80
12147,24.22,22.75,22.75,22.75,21.29,21.29
12255,24.22,23.24,22.75,22.75,21.29,20.80
12361,24.22,22.75,22.75,22.27,21.29,20.80
12468,24.22,22.75,22.75,22.75,21.78,20.80
12575,24.71,22.75,22.75,19.82,20.80,20.80
12682,24.22,22.75,22.75,22.27,18.85,20.80
12788,24.22,22.75,23.24,22.75,21.29,21.29
12895,24.22,22.75,22.75,22.75,21.29,20.80
13002,24.22,22.75,22.75,22.75,21.29,21.29
13109,24.22,22.75,22.75,22.27,21.29,19.34
13215,24.22,22.75,23.73,22.75,21.29,19.82
13327,24.22,22.75,22.75,22.75,19.82,20.80
13433,24.22,22.75,22.75,22.75,21.29,20.80
13540,24.22,22.75,22.75,22.27,21.78,20.80
13647,24.22,22.75,22.75,22.75,21.78,20.31
13754,24.22,22.75,23.24,22.75,21.29,21.29
13860,24.71,22.75,22.75,22.75,21.29,20.80
13968,24.22,22.75,22.75,22.75,20.80,20.80
14074,24.22,22.75,22.75,22.27,21.29,20.80
14181,24.22,22.75,22.75,22.27,20.80,21.29
14287,24.22,22.75,22.75,22.75,21.78,21.29
14395,24.22,22.75,23.24,22.27,20.80,20.31
14501,24.22,22.75,22.75,22.75,21.29,20.80
14612,24.71,22.75,23.24,22.75,23.73,20.80
14720,24.71,23.24,22.75,22.75,20.80,22.75
14826,24.22,22.75,22.75,22.75,21.29,21.78
14932,24.22,22.75,22.75,22.75,23.24,21.29
15040,24.22,22.75,22.75,22.27,20.31,20.80
15147,24.71,22.75,23.24,22.75,21.78,20.80
15253,24.71,22.75,22.75,22.75,21.29,20.80
15361,24.71,22.75,22.75,22.27,21.29,20.80
15467,24.71,22.75,22.75,22.75,21.29,20.80
15574,24.71,22.75,23.24,22.75,20.80,20.80
15680,24.71,22.75,22.75,22.75,21.29,21.29
15788,24.71,22.75,23.24,22.75,21.29,23.24
15898,24.22,22.75,23.24,22.75,20.80,19.82
16005,24.71,22.75,22.75,22.27,30.57,21.29
16112,24.22,22.75,23.73,22.75,21.29,20.80
16219,24.71,22.75,22.75,22.75,21.29,20.80
16325,24.71,22.75,22.75,22.75,21.29,21.29
16433,24.71,22.75,23.24,22.75,21.29,20.80
16539,24.22,22.75,22.75,22.27,20.80,20.80
16646,24.71,23.24,22.75,22.75,21.29,20.80
16753,24.71,22.75,23.24,22.75,21.29,20.80
16860,24.71,22.75,22.75,22.75,20.80,23.24
16966,24.71,22.75,22.75,22.75,21.29,20.31
17073,24.71,22.75,22.75,22.27,19.34,21.78
17184,24.71,22.75,22.75,22.75,21.29,20.31
17291,24.71,22.75,23.24,22.75,19.34,20.80
17397,24.22,22.75,22.75,22.27,21.29,21.29
17505,24.22,22.75,22.27,22.75,19.34,20.80
17611,24.71,23.24,22.75,22.75,21.29,20.80
17718,24.71,22.75,22.75,22.75,21.78,20.80
17825,24.71,22.75,22.75,22.75,20.80,20.80
17932,24.71,23.24,22.75,22.75,21.29,20.80
18038,24.71,22.75,22.75,22.27,29.10,20.31
18146,24.71,22.75,22.75,22.75,20.31,21.29
18252,24.71,22.75,22.75,22.27,21.29,21.29
18363,24.71,23.24,22.75,22.75,19.34,20.80
18469,24.71,22.75,22.75,22.75,21.29,20.31
18577,24.71,22.75,22.75,22.75,21.29,20.80
18683,24.71,22.75,22.75,22.75,21.29,20.80
18790,24.71,22.75,22.75,22.27,20.80,21.29
18897,24.71,22.75,22.75,22.75,18.36,20.80
19004,24.71,22.75,22.75,22.75,20.31,20.80
19110,24.71,22.75,22.75,22.75,21.78,21.29
19218,24.71,22.75,22.75,22.75,20.80,20.31
19324,24.71,22.75,22.75,22.75,21.29,20.80
19431,24.71,22.75,22.75,22.75,21.29,21.29
19538,24.71,22.75,22.75,22.27,20.80,21.29
19649,24.71,22.75,22.75,22.27,21.29,21.29
19756,24.71,22.75,22.75,22.27,19.82,20.31
19862,24.22,22.75,22.75,22.27,20.80,20.80
19970,24.71,22.75,22.75,22.75,21.29,21.29
20076,25.20,22.75,22.75,22.75,21.29,20.80
20183,24.71,22.75,22.75,22.75,20.80,20.31
20290,24.71,22.75,22.75,22.75,21.29,22.75
20397,24.71,22.75,22.75,22.75,20.80,20.80
20503,25.20,22.75,22.75,20.80,21.29,20.80
20611,24.71,22.75,22.75,22.27,21.29,20.80
20717,24.71,22.75,22.75,22.75,21.29,20.80
20824,24.71,22.75,22.75,22.27,21.29,20.80
20934,24.71,22.75,22.75,22.75,21.78,21.29
21042,25.20,22.75,22.75,22.75,21.29,20.80
21148,24.71,22.75,22.75,22.27,21.29,20.80
21255,24.71,22.75,22.75,22.75,20.80,20.80
21362,24.71,22.75,22.27,22.27,21.78,20.80
21469,24.71,22.75,22.75,22.75,21.29,21.29
21575,24.71,22.75,22.75,22.75,21.29,20.80
21683,24.71,22.75,22.75,22.75,20.80,20.80
21789,24.71,22.75,22.75,22.27,21.78,20.31
21896,24.71,22.75,22.75,22.27,20.80,20.80
22003,25.20,22.75,22.75,26.17,20.80,21.29
22110,25.20,22.75,22.75,22.27,21.78,20.80
22220,24.71,22.75,22.75,21.78,20.80,21.29
22327,25.20,22.75,22.75,22.75,21.29,20.80
22434,25.20,22.75,22.75,22.75,20.80,21.29
22541,25.20,22.75,22.75,22.75,21.78,20.31
22647,25.20,22.75,22.75,22.27,21.29,20.80
22755,24.71,22.75,22.75,20.80,20.80,21.29
22861,24.71,22.75,22.75,22.27,21.29,21.29
22968,25.20,22.75,22.75,22.75,21.29,20.80
23075,25.20,22.75,22.75,22.27,21.29,20.80
23182,25.20,22.75,22.75,22.27,21.29,21.29
23288,25.20,22.75,22.75,22.27,21.29,20.31
23396,25.20,22.75,22.75,22.27,20.80,20.80
23506,25.20,22.75,22.75,22.27,21.29,19.34
23613,25.20,22.75,22.75,22.27,20.80,21.29
23719,25.20,22.75,22.75,22.27,21.29,20.80
23827,25.20,22.75,22.75,22.75,20.31,20.80
23933,25.20,22.75,22.75,22.75,21.29,21.29
24040,25.20,22.75,22.75,22.75,20.80,21.29
24147,25.20,22.75,22.75,22.27,21.29,20.31
24254,25.20,22.75,22.75,22.27,24.71,20.31
24360,25.20,22.75,22.75,22.27,20.80,20.80
24468,25.20,22.75,22.75,22.27,21.78,20.80
24574,25.20,22.75,22.75,22.75,21.29,20.31
24681,25.20,22.75,22.75,22.27,20.80,20.80
24792,25.20,22.75,23.73,22.27,21.29,20.80
24899,25.20,22.75,22.75,22.27,21.29,20.80
25006,25.20,22.75,22.75,22.27,20.80,25.20
25112,25.20,22.75,22.75,22.75,21.29,21.29
25220,25.20,22.75,22.75,22.27,21.78,21.29
25326,25.20,23.24,22.75,22.27,21.29,20.80
25433,25.20,22.75,22.75,22.27,20.80,20.31
25540,25.20,22.75,22.75,22.27,21.29,20.31
25647,25.20,22.75,22.75,22.75,20.80,20.80
25753,25.20,22.75,22.75,22.27,29.10,21.29
25861,25.20,22.75,22.75,22.75,21.29,21.29
25967,25.20,22.75,22.75,22.75,21.29,20.80
26078,25.20,22.75,22.75,22.27,20.80,20.80
26184,25.20,22.75,22.75,22.75,21.29,20.80
26292,25.20,22.75,22.75,22.75,20.80,20.80
26398,25.20,22.75,22.75,22.75,20.80,20.80
26505,25.20,22.75,22.75,22.75,21.29,20.80
26612,25.20,22.75,23.24,22.75,20.31,21.78
26719,25.20,22.75,22.75,21.78,20.31,21.29
26825,25.20,22.75,22.75,22.75,21.29,20.31
26933,25.20,22.75,22.75,22.75,21.29,20.80
27039,25.20,22.75,22.75,22.75,20.80,20.80
27146,25.20,22.75,22.75,22.27,20.31,20.80
27252,25.20,22.75,22.75,22.75,20.31,20.80
27364,25.20,22.75,22.75,22.75,20.31,20.80
27470,25.20,22.75,22.75,22.27,21.29,21.29
27577,25.20,22.75,23.24,22.75,20.31,21.29
27684,25.68,22.75,22.75,22.75,20.80,20.80
27791,25.20,22.75,22.75,22.75,19.82,21.29
27897,25.20,22.75,23.24,22.75,20.80,20.80
28005,25.20,22.75,22.75,22.75,21.29,21.29
28111,25.20,22.75,22.75,22.27,18.36,21.29
28218,25.20,22.75,22.75,22.75,19.34,20.80
28324,25.20,22.75,22.75,22.75,20.80,20.80
28432,25.68,22.75,22.75,22.75,20.80,20.80
28538,25.68,22.75,22.75,22.75,21.29,18.85
28649,25.68,22.75,22.75,22.75,21.29,20.80
28756,25.68,22.75,22.75,22.27,21.29,20.80
28863,25.68,22.75,22.75,22.27,21.78,20.80
28969,25.68,22.75,22.75,22.27,19.82,21.29
29077,25.20,22.75,22.75,22.27,21.29,22.75
29184,25.68,22.75,22.75,22.27,21.29,20.80
29290,25.68,22.75,22.75,22.27,23.24,20.80
29396,25.68,22.75,22.75,22.27,20.80,20.80
29504,25.20,22.75,22.75,22.27,20.80,20.31
29611,25.20,22.75,22.75,22.75,21.29,21.29
29717,25.68,23.24,22.75,22.75,21.29,18.85
29825,25.20,22.75,22.75,22.27,20.31,20.31
29935,25.68,22.75,22.27,22.75,20.80,21.29
30042,25.68,22.75,22.75,22.27,20.80,20.31
30149,25.68,22.75,22.75,22.27,21.29,20.80
30256,25.68,22.75,22.75,22.27,24.71,21.29
30362,25.68,22.75,22.75,22.75,21.29,20.80
30470,25.20,22.75,22.75,22.27,20.31,19.82
30576,25.68,22.75,22.75,22.75,21.78,20.80
30683,25.68,22.75,22.75,22.75,21.29,20.80
30789,25.68,22.75,22.75,22.27,19.82,20.80
30897,25.68,22.75,22.75,22.75,22.27,20.80
31003,25.68,22.75,22.75,22.27,20.31,20.31
31114,25.68,22.75,22.75,22.27,21.29,20.31
31221,25.68,22.75,22.75,22.27,21.29,20.80
31328,25.68,22.75,23.24,22.75,21.29,20.80
31434,25.68,22.75,22.75,22.27,18.85,21.78
31542,25.68,22.75,22.75,22.75,21.29,20.80
31648,25.68,22.75,23.24,22.75,21.29,20.31
31755,25.68,22.75,22.75,22.27,20.80,20.80
31861,25.68,22.75,23.24,22.27,20.80,21.29
31969,25.68,22.75,22.75,21.78,21.29,20.80
32075,25.68,22.75,22.75,22.75,21.29,20.80
32182,25.68,22.75,22.75,22.75,21.29,20.80
32289,25.68,22.75,22.75,22.27,21.29,20.31
32400,25.68,22.75,23.24,22.75,21.78,20.80
32506,25.68,22.75,22.75,22.27,21.29,20.80
32614,25.68,22.75,22.75,22.75,21.29,20.80
32720,25.68,22.75,22.75,22.75,18.85,20.80
32827,25.68,22.75,22.75,21.78,20.31,20.80
32933,25.68,22.75,22.75,22.75,20.80,20.80
33041,25.68,22.75,22.75,22.75,21.29,21.29
33147,25.68,22.75,22.75,22.75,23.73,18.85
33254,26.17,23.24,22.75,22.27,21.29,20.80
33361,25.68,22.75,23.73,22.27,20.80,21.29
33468,25.68,22.75,22.75,22.27,21.29,20.80
33574,25.68,23.24,22.75,22.27,21.29,20.80
33686,25.68,22.75,22.75,22.27,20.31,20.31
33793,25.68,22.75,22.75,22.27,20.80,20.80
33899,25.68,22.75,22.75,22.27,21.29,21.29
34007,25.68,22.75,22.75,22.75,21.29,20.80
34113,25.68,22.75,22.75,22.27,21.78,20.80
34220,25.68,22.75,22.75,22.75,21.29,20.80
34326,25.68,22.75,22.75,22.27,18.36,20.31
34434,26.17,22.75,22.75,22.75,21.29,20.80
34540,26.17,22.75,22.75,23.24,20.80,20.80
34647,25.68,22.75,22.75,22.27,21.29,20.80
34754,25.68,23.73,22.75,22.75,20.80,20.80
34861,25.68,22.75,22.75,22.75,20.80,20.80
34971,25.68,23.24,22.75,22.27,20.80,21.29
35079,26.66,22.75,22.75,22.27,21.29,21.29
35185,25.68,22.75,22.75,21.29,32.03,21.29
35292,25.68,23.24,22.75,22.27,21.29,21.78
35398,26.17,22.75,22.75,22.27,21.29,20.80
35506,26.17,22.75,22.75,22.27,20.80,20.31
35612,26.17,22.75,22.75,22.27,21.29,20.80
35719,26.17,22.75,22.75,22.27,21.29,21.29
35826,26.17,23.73,22.75,22.27,20.80,22.27
35933,25.68,22.75,22.75,22.27,21.29,20.80
36039,26.17,22.75,22.75,22.27,21.29,20.80
36147,26.17,22.75,22.75,22.27,19.34,23.24
36257,26.17,22.75,22.75,22.75,21.29,21.29
36364,26.17,22.75,22.75,22.27,20.80,20.80
36471,26.17,23.24,22.75,22.27,20.31,20.80
36578,26.17,22.75,22.75,22.27,21.29,20.80
36684,25.68,22.75,22.75,22.75,19.34,20.80
36791,26.17,22.75,22.75,22.75,20.80,20.31
36898,26.17,22.75,22.75,22.75,21.29,23.24
37005,26.17,22.75,22.75,22.27,21.29,20.31
37111,26.17,22.75,22.75,22.27,20.80,20.80
37219,26.17,22.75,22.75,22.27,20.31,21.29
37325,26.17,23.24,22.75,22.27,21.29,21.29
37432,26.17,23.24,22.75,22.75,21.29,20.80
37543,26.17,22.75,23.24,22.27,19.82,20.80
37650,26.17,23.24,22.75,22.75,21.29,23.73
37756,26.17,22.75,22.75,22.27,21.29,20.31
37864,26.17,22.75,22.75,22.27,20.80,21.29
37970,26.17,22.75,22.75,22.27,20.80,20.80
38077,26.17,22.75,22.75,22.27,21.29,20.80
38184,26.17,22.75,22.75,22.27,20.80,20.80
38291,26.17,22.75,22.75,22.75,21.78,20.80
38397,26.17,22.75,22.75,23.24,21.29,20.80
38504,26.17,22.75,22.75,22.27,21.29,20.80
38611,26.17,23.24,22.75,22.27,21.78,21.29
38718,26.17,23.24,22.75,21.29,20.80,26.66
38829,26.17,23.24,22.75,22.27,21.78,20.80
38936,26.17,22.75,22.75,22.27,20.80,20.31
39043,26.17,22.75,22.75,22.75,20.80,20.80
39149,26.17,23.24,22.75,22.75,21.29,20.80
39257,26.17,23.24,22.75,22.27,21.29,20.31
39363,26.17,22.75,22.75,22.27,20.80,21.29
39470,26.17,22.75,22.75,22.75,21.29,20.80
39576,26.17,22.75,22.27,22.27,21.78,21.29
39684,26.17,22.75,22.75,22.27,21.78,20.80
39790,26.17,22.75,22.75,22.75,20.80,20.80
39897,26.17,23.24,22.75,22.27,21.29,20.80
40004,26.17,23.24,22.75,22.27,21.29,24.22
40115,26.17,23.24,22.75,22.27,19.34,20.80
40221,26.17,23.24,22.75,22.27,21.29,21.29
40329,26.17,23.24,22.75,22.75,21.29,21.29
40435,26.17,23.24,22.75,25.68,20.80,20.80
40542,26.17,22.75,22.75,22.75,20.80,20.31
40649,26.17,23.24,22.75,22.27,20.80,21.29
40756,26.17,23.24,22.75,22.27,19.82,20.80
40862,26.17,23.24,22.75,22.27,21.29,20.80
40969,26.17,22.75,22.75,22.27,19.82,19.82
41076,26.17,23.24,22.75,22.27,21.29,20.80
41183,26.17,23.24,22.75,22.75,21.29,20.80
41289,26.17,23.24,22.75,22.75,20.80,20.80
41401,26.66,23.24,22.75,22.27,20.80,20.31
41507,26.17,22.75,22.75,22.27,21.78,20.31
41614,26.17,23.24,22.75,22.27,21.29,20.80
41721,26.66,22.75,22.75,22.27,21.29,20.80
41828,26.17,23.24,22.75,22.27,21.29,21.29
41934,26.17,22.75,22.75,22.27,20.31,20.80
42042,26.66,23.24,22.75,22.27,21.29,20.31
42148,26.66,23.24,22.75,22.27,21.29,20.80
42255,26.17,23.24,22.75,22.27,21.29,21.78
42361,26.66,23.24,22.75,22.75,20.80,20.80
42469,26.17,22.75,22.75,22.27,17.38,20.80
42575,26.66,22.75,22.75,22.75,20.80,21.29
42686,26.17,23.24,22.75,22.27,20.31,20.80
42793,26.17,22.75,22.75,22.27,20.80,20.80
42900,26.66,23.24,22.75,22.27,21.29,20.80
43006,26.66,22.75,22.75,22.27,21.29,20.80
43114,26.66,23.24,22.75,22.75,21.29,21.78
43220,26.66,23.24,22.75,22.27,20.80,20.80
43327,26.17,23.24,22.75,22.75,20.31,20.80
43433,26.66,23.24,22.75,26.17,17.38,19.34
43541,26.66,23.24,22.75,22.27,21.29,20.80
43648,26.66,23.24,22.75,22.27,21.29,20.80
43754,26.66,22.75,22.75,22.27,20.80,20.80
43862,26.66,22.75,23.73,22.27,21.29,20.80
43972,26.66,23.24,23.24,22.75,21.29,21.78
44079,26.66,23.24,22.75,22.27,21.29,20.31
44186,26.66,22.75,22.75,21.78,19.82,20.80
44293,26.66,22.75,22.75,22.27,20.80,20.80
44399,26.66,23.24,22.75,22.75,20.80,20.80
44506,26.66,23.24,22.75,22.27,23.24,20.31
44613,26.66,23.24,22.75,22.75,21.29,20.80
44720,26.66,22.75,22.75,21.29,21.29,20.80
44826,26.17,23.24,22.75,22.27,21.29,20.80
44934,26.66,23.24,22.75,22.75,20.80,20.80
45040,26.66,23.24,22.75,22.27,19.34,21.29
45151,26.66,23.24,22.75,22.27,21.29,20.80
45258,26.66,22.75,23.24,22.75,20.80,20.80
45365,26.66,23.24,22.75,22.75,20.80,20.31
45471,26.66,22.75,23.24,22.75,21.29,20.80
45579,26.66,23.24,22.75,22.27,21.78,20.80
45685,26.66,22.75,22.75,21.78,21.29,20.80
45792,26.66,23.24,22.75,22.27,21.78,20.80
45898,26.66,23.24,22.75,22.75,20.80,20.80
46006,26.66,23.24,22.75,22.75,21.29,18.36
46112,26.66,23.24,22.75,22.27,23.24,20.80
46219,26.66,23.24,22.75,22.75,20.80,21.29
46326,26.66,23.24,22.75,21.78,21.78,20.31
46437,26.66,23.24,22.75,21.78,20.80,21.29
46543,26.66,22.75,22.75,22.27,21.29,20.80
46650,26.66,23.24,22.75,22.27,21.29,20.80
46757,26.66,23.24,22.75,22.27,20.80,20.80
46864,26.66,23.24,22.75,22.27,21.29,19.34
46970,26.66,23.24,22.75,22.27,20.80,20.31
47078,26.66,22.75,22.75,22.75,20.31,20.80
47184,26.66,23.24,22.75,22.27,20.80,20.80
47291,26.66,23.24,22.75,22.27,20.80,20.80
47398,26.66,23.24,22.75,22.75,20.80,20.31
47505,26.66,23.24,22.75,22.27,20.31,21.29
47611,26.66,23.24,22.75,22.27,20.80,20.80
47722,27.15,23.24,22.75,22.27,20.80,20.80
47830,26.66,23.24,22.75,22.27,21.29,20.80
47936,27.15,23.24,22.75,22.27,20.80,20.80
48043,26.66,23.24,22.75,23.24,21.29,21.29
48149,27.15,23.24,22.75,22.75,21.78,20.80
48257,26.66,23.24,22.75,22.75,21.29,20.80
48363,26.66,23.24,22.75,22.27,21.29,18.85
48470,26.66,23.24,23.24,22.27,20.31,20.31
48577,26.66,22.75,22.75,22.27,20.80,20.80
48684,26.66,23.24,22.75,22.27,20.80,20.80
48790,26.66,23.24,22.75,22.75,20.80,20.80
48898,26.66,23.24,22.75,22.75,20.80,20.80
49008,26.66,23.24,22.75,22.75,20.80,20.31
49115,27.15,23.24,22.75,22.27,20.80,20.80
49221,26.66,23.24,22.75,22.27,21.29,20.80
49329,27.15,23.24,22.75,22.75,21.29,21.29
49435,27.15,23.24,22.75,22.27,20.31,20.80
49542,27.15,23.24,22.75,22.75,21.29,20.80
49649,27.15,23.24,22.75,22.27,21.29,20.80
49756,26.66,23.24,22.75,22.27,21.29,20.80
49862,27.15,23.24,22.75,22.27,21.29,20.80
49970,27.15,22.75,22.75,22.27,21.29,21.29
50076,27.15,23.24,22.75,22.27,20.80,21.29
50183,27.15,23.24,22.75,22.27,21.29,20.80
50294,26.66,23.24,22.75,22.75,21.29,21.29
50401,27.15,23.24,22.75,26.17,20.80,21.29
50507,27.15,23.24,22.75,22.27,21.78,21.29
50614,26.66,23.24,22.75,22.27,20.80,20.80
50721,27.15,23.24,23.24,22.75,19.82,20.80
50828,26.66,23.24,22.75,22.75,20.80,20.80
50934,26.66,23.24,22.75,21.78,20.31,20.80
51042,27.15,23.24,22.75,22.75,20.80,20.80
51148,27.15,23.24,22.75,22.27,21.29,21.29
51255,27.15,23.24,22.75,22.27,21.29,20.80
51362,27.15,23.24,22.75,22.75,21.29,20.31
51469,26.66,23.24,22.27,22.27,18.36,20.80
51579,27.15,23.24,22.75,22.75,21.29,22.27
51687,27.15,23.24,22.75,22.75,20.31,20.80
51793,27.15,23.24,22.75,22.27,20.80,21.29
51900,27.15,23.24,22.75,22.27,20.80,20.80
52006,27.15,23.24,22.75,22.27,21.29,20.80
52114,27.15,23.24,22.75,22.27,21.29,20.80
52220,27.15,23.24,22.75,22.27,21.29,20.31
52327,26.66,23.24,22.27,22.27,21.29,21.29
52434,27.15,23.24,22.75,22.27,31.54,20.80
52541,27.15,23.24,22.75,22.75,21.29,20.80
52647,27.15,23.24,22.75,22.75,19.82,21.29
52755,27.15,23.24,22.75,22.27,21.29,20.31
52866,27.15,23.24,22.75,22.27,21.29,20.80
52972,27.15,23.24,22.75,22.27,19.34,20.31
53080,27.15,23.24,23.24,22.27,20.31,20.31
53186,26.66,22.75,22.75,22.27,21.29,20.80
53293,27.15,23.24,22.75,22.27,20.80,20.80
53400,27.15,23.24,22.75,23.24,22.27,20.31
53507,27.15,23.24,22.75,22.27,20.80,20.80
53613,27.15,23.24,22.75,22.27,20.80,20.80
53720,27.15,23.24,22.75,22.27,20.80,20.80
53827,27.15,23.24,22.75,22.27,21.78,21.29
53934,27.15,23.24,22.75,22.75,21.29,20.80
54040,27.15,23.24,22.75,22.27,21.29,20.80
54152,27.15,23.24,22.75,22.75,20.31,21.29
54258,27.15,23.24,22.75,22.75,21.78,20.80
54365,27.15,23.24,22.75,22.75,20.80,20.31
54472,27.15,23.24,22.75,22.75,23.73,20.80
54579,27.15,23.24,22.75,22.75,20.80,20.80
54685,27.15,23.24,22.27,22.27,21.29,20.80
54792,27.15,23.24,22.75,21.78,21.29,20.80
54899,27.15,23.24,22.75,22.75,21.29,21.29
55006,27.15,23.24,22.75,22.27,21.29,20.80
55112,27.15,23.24,22.75,22.27,20.80,20.80
55220,27.15,23.24,22.75,22.27,21.29,21.29
55326,27.15,23.24,23.73,22.75,21.29,20.80
55437,27.15,23.24,23.24,22.27,21.29,20.80
55544,27.15,23.24,22.75,22.27,20.31,20.80
55651,27.15,23.24,22.75,22.75,19.34,20.80
55757,27.15,23.24,22.75,22.27,20.80,20.80
55865,27.64,23.24,22.75,22.27,21.29,23.24
55971,27.15,23.24,22.75,22.27,21.29,20.31
56078,27.64,23.24,23.24,22.27,20.80,20.80
56185,27.15,23.24,22.27,22.75,20.80,18.36
56292,27.64,23.24,22.75,22.27,21.29,20.80
56398,27.64,23.24,22.75,22.75,21.29,20.80
56505,27.15,23.24,22.75,23.24,21.29,20.80
56612,27.15,23.73,23.24,22.75,21.29,22.27
56723,27.15,23.73,22.75,22.27,20.80,20.80
56829,27.15,23.24,22.75,22.27,19.34,20.80
56937,27.64,23.24,22.75,22.27,21.29,20.80
57043,27.15,23.24,22.75,22.27,21.29,21.29
57150,27.15,23.24,22.75,22.75,20.31,20.80
57257,27.15,23.24,22.75,22.27,21.29,20.80
57364,27.15,23.24,22.75,22.27,21.29,20.80
57470,27.15,23.24,22.75,22.27,21.29,20.31
57578,27.64,23.24,22.75,22.75,21.29,20.31
57684,27.64,23.24,22.75,22.27,20.80,25.68
57791,27.15,23.24,22.75,22.75,20.80,21.78
